Year,UNIT_MEASURE,Type_of_school,SEX,Value
2013,NUMBER,gymnasium,M,14829
2014,NUMBER,gymnasium,M,13802
2015,NUMBER,gymnasium,M,12424
2016,NUMBER,gymnasium,M,11379
2017,NUMBER,gymnasium,M,10929
2018,NUMBER,gymnasium,M,9694
2019,NUMBER,gymnasium,M,8899
2020,NUMBER,gymnasium,M,8451
2021,NUMBER,gymnasium,M,7925
2022,NUMBER,gymnasium,M,7760
2023,NUMBER,gymnasium,M,7623
2011,NUMBER,technical_schools,M,41624
2012,NUMBER,technical_schools,M,43010
2013,NUMBER,technical_schools,M,41216
2014,NUMBER,technical_schools,M,38340
2015,NUMBER,technical_schools,M,35563
2016,NUMBER,technical_schools,M,33308
2017,NUMBER,technical_schools,M,32926
2018,NUMBER,technical_schools,M,31248
2019,NUMBER,technical_schools,M,30030
2020,NUMBER,technical_schools,M,29382
2021,NUMBER,technical_schools,M,29278
2022,NUMBER,technical_schools,M,29473
2023,NUMBER,technical_schools,M,30018
2011,NUMBER,art_schools,M,657
2012,NUMBER,art_schools,M,645
2013,NUMBER,art_schools,M,581
2014,NUMBER,art_schools,M,512
2015,NUMBER,art_schools,M,471
2016,NUMBER,art_schools,M,454
2017,NUMBER,art_schools,M,432
2018,NUMBER,art_schools,M,447
2019,NUMBER,art_schools,M,403
2020,NUMBER,art_schools,M,411
2021,NUMBER,art_schools,M,460
2022,NUMBER,art_schools,M,423
2023,NUMBER,art_schools,M,403
2011,NUMBER,religion_schools,M,1089
2012,NUMBER,religion_schools,M,1138
2013,NUMBER,religion_schools,M,1149
2014,NUMBER,religion_schools,M,1106
2015,NUMBER,religion_schools,M,1070
2016,NUMBER,religion_schools,M,1099
2017,NUMBER,religion_schools,M,1121
2018,NUMBER,religion_schools,M,1075
2019,NUMBER,religion_schools,M,1053
2020,NUMBER,religion_schools,M,1027
2021,NUMBER,religion_schools,M,985
2022,NUMBER,religion_schools,M,1002
2023,NUMBER,religion_schools,M,1027
2011,NUMBER,vocational_schools,M,23787
2012,NUMBER,vocational_schools,M,23567
2013,NUMBER,vocational_schools,M,20832
2014,NUMBER,vocational_schools,M,18088
2015,NUMBER,vocational_schools,M,16937
2016,NUMBER,vocational_schools,M,16746
2017,NUMBER,vocational_schools,M,16292
2018,NUMBER,vocational_schools,M,16137
2019,NUMBER,vocational_schools,M,15739
2020,NUMBER,vocational_schools,M,15588
2021,NUMBER,vocational_schools,M,15103
2022,NUMBER,vocational_schools,M,14646
2023,NUMBER,vocational_schools,M,14211
2011,NUMBER,high_schools_for_children_with_special_needs,M,259
2012,NUMBER,high_schools_for_children_with_special_needs,M,281
2013,NUMBER,high_schools_for_children_with_special_needs,M,275
2014,NUMBER,high_schools_for_children_with_special_needs,M,247
2015,NUMBER,high_schools_for_children_with_special_needs,M,243
2016,NUMBER,high_schools_for_children_with_special_needs,M,246
2017,NUMBER,high_schools_for_children_with_special_needs,M,234
2018,NUMBER,high_schools_for_children_with_special_needs,M,220
2019,NUMBER,high_schools_for_children_with_special_needs,M,204
2020,NUMBER,high_schools_for_children_with_special_needs,M,209
2021,NUMBER,high_schools_for_children_with_special_needs,M,165
2022,NUMBER,high_schools_for_children_with_special_needs,M,150
2023,NUMBER,high_schools_for_children_with_special_needs,M,155
2011,NUMBER,_T,F,80539
2012,NUMBER,_T,F,82242
2013,NUMBER,_T,F,77468
2014,NUMBER,_T,F,71786
2015,NUMBER,_T,F,66520
2016,NUMBER,_T,F,63592
2017,NUMBER,_T,F,62214
2018,NUMBER,_T,F,58654
2019,NUMBER,_T,F,56468
2020,NUMBER,_T,F,55336
2021,NUMBER,_T,F,54341
2022,NUMBER,_T,F,54482
2011,NUMBER,gymnasium,F,25752
2012,NUMBER,gymnasium,F,26446
2013,NUMBER,gymnasium,F,25236
2014,NUMBER,gymnasium,F,23330
2015,NUMBER,gymnasium,F,20897
2016,NUMBER,gymnasium,F,19236
2017,NUMBER,gymnasium,F,18662
2018,NUMBER,gymnasium,F,17037
2019,NUMBER,gymnasium,F,15918
2020,NUMBER,gymnasium,F,15416
2021,NUMBER,gymnasium,F,14760
2022,NUMBER,gymnasium,F,14340
2023,NUMBER,gymnasium,F,13982
2011,NUMBER,technical_schools,F,42080
2012,NUMBER,technical_schools,F,43529
2013,NUMBER,technical_schools,F,41527
2014,NUMBER,technical_schools,F,39048
2015,NUMBER,technical_schools,F,36546
2016,NUMBER,technical_schools,F,35435
2017,NUMBER,technical_schools,F,34969
2018,NUMBER,technical_schools,F,33458
2019,NUMBER,technical_schools,F,32816
2020,NUMBER,technical_schools,F,32429
2021,NUMBER,technical_schools,F,32211
2022,NUMBER,technical_schools,F,32869
2023,NUMBER,technical_schools,F,33314
2011,NUMBER,art_schools,F,857
2012,NUMBER,art_schools,F,875
2013,NUMBER,art_schools,F,864
2014,NUMBER,art_schools,F,779
2015,NUMBER,art_schools,F,745
2016,NUMBER,art_schools,F,749
2017,NUMBER,art_schools,F,722
2018,NUMBER,art_schools,F,719
2019,NUMBER,art_schools,F,736
2020,NUMBER,art_schools,F,740
2021,NUMBER,art_schools,F,895
2022,NUMBER,art_schools,F,911
2023,NUMBER,art_schools,F,865
2011,NUMBER,religion_schools,F,1006
2012,NUMBER,religion_schools,F,1128
2013,NUMBER,religion_schools,F,1109
2014,NUMBER,religion_schools,F,1116
2015,NUMBER,religion_schools,F,1119
2016,NUMBER,religion_schools,F,1128
2017,NUMBER,religion_schools,F,1188
2018,NUMBER,religion_schools,F,1170
2019,NUMBER,religion_schools,F,1144
2020,NUMBER,religion_schools,F,1169
2021,NUMBER,religion_schools,F,1165
2022,NUMBER,religion_schools,F,1222
2023,NUMBER,religion_schools,F,1208
2011,NUMBER,vocational_schools,F,10692
2012,NUMBER,vocational_schools,F,10105
2013,NUMBER,vocational_schools,F,8582
2014,NUMBER,vocational_schools,F,7375
2015,NUMBER,vocational_schools,F,7058
2016,NUMBER,vocational_schools,F,6896
2017,NUMBER,vocational_schools,F,6527
2018,NUMBER,vocational_schools,F,6143
2019,NUMBER,vocational_schools,F,5742
2020,NUMBER,vocational_schools,F,5466
2021,NUMBER,vocational_schools,F,5207
2022,NUMBER,vocational_schools,F,5058
2023,NUMBER,vocational_schools,F,4843
2011,NUMBER,high_schools_for_children_with_special_needs,F,152
2012,NUMBER,high_schools_for_children_with_special_needs,F,159
2013,NUMBER,high_schools_for_children_with_special_needs,F,150
2014,NUMBER,high_schools_for_children_with_special_needs,F,138
2015,NUMBER,high_schools_for_children_with_special_needs,F,155
2016,NUMBER,high_schools_for_children_with_special_needs,F,148
2017,NUMBER,high_schools_for_children_with_special_needs,F,146
2018,NUMBER,high_schools_for_children_with_special_needs,F,127
2019,NUMBER,high_schools_for_children_with_special_needs,F,112
2020,NUMBER,high_schools_for_children_with_special_needs,F,116
2021,NUMBER,high_schools_for_children_with_special_needs,F,103
2022,NUMBER,high_schools_for_children_with_special_needs,F,82
2023,NUMBER,high_schools_for_children_with_special_needs,F,91
