Year,UNIT_MEASURE,SEX,AGE,Municipality,Value
2013,NUMBER,F,Total,glamoc,1897
2013,NUMBER,_T,Total,gorazde,20897
2013,NUMBER,M,Total,gorazde,10163
2013,NUMBER,F,Total,gorazde,10734
2013,NUMBER,_T,Total,gornji_vakuf_uskoplje,20933
2013,NUMBER,M,Total,gornji_vakuf_uskoplje,10532
2013,NUMBER,F,Total,gornji_vakuf_uskoplje,10401
2013,NUMBER,_T,Total,gracanica,45220
2013,NUMBER,M,Total,gracanica,21641
2013,NUMBER,F,Total,gracanica,23579
2013,NUMBER,_T,Total,gradacac,39340
2013,NUMBER,M,Total,gradacac,19234
2013,NUMBER,F,Total,gradacac,20106
2013,NUMBER,_T,Total,gradiska,51727
2013,NUMBER,M,Total,gradiska,25271
2013,NUMBER,F,Total,gradiska,26456
2013,NUMBER,_T,Total,grude,17308
2013,NUMBER,M,Total,grude,8621
2013,NUMBER,F,Total,grude,8687
2013,NUMBER,_T,Total,sarajevo_hadzici,23891
2013,NUMBER,M,Total,sarajevo_hadzici,11914
2013,NUMBER,F,Total,sarajevo_hadzici,11977
2013,NUMBER,_T,Total,han_pijesak,3530
2013,NUMBER,M,Total,han_pijesak,1667
2013,NUMBER,F,Total,han_pijesak,1863
2013,NUMBER,_T,Total,sarajevo_ilidza,66730
2013,NUMBER,M,Total,sarajevo_ilidza,32359
2013,NUMBER,F,Total,sarajevo_ilidza,34371
2013,NUMBER,_T,Total,sarajevo_ilijas,19603
2013,NUMBER,M,Total,sarajevo_ilijas,9381
2013,NUMBER,F,Total,sarajevo_ilijas,10222
2013,NUMBER,_T,Total,istocna_ilidza,14763
2013,NUMBER,M,Total,istocna_ilidza,7069
2013,NUMBER,F,Total,istocna_ilidza,7694
2013,NUMBER,_T,Total,istocni_drvar,79
2013,NUMBER,M,Total,istocni_drvar,53
2013,NUMBER,F,Total,istocni_drvar,26
2013,NUMBER,_T,Total,istocni_mostar,257
2013,NUMBER,M,Total,istocni_mostar,142
2013,NUMBER,F,Total,istocni_mostar,115
2013,NUMBER,_T,Total,istocni_stari_grad,1131
2013,NUMBER,M,Total,istocni_stari_grad,560
2013,NUMBER,F,Total,istocni_stari_grad,571
2013,NUMBER,_T,Total,istocno_novo_sarajevo,10642
2013,NUMBER,M,Total,istocno_novo_sarajevo,5058
2013,NUMBER,F,Total,istocno_novo_sarajevo,5584
2013,NUMBER,_T,Total,jablanica,10111
2013,NUMBER,M,Total,jablanica,5027
2013,NUMBER,F,Total,jablanica,5084
2013,NUMBER,_T,Total,jajce,27258
2013,NUMBER,M,Total,jajce,13856
2013,NUMBER,F,Total,jajce,13402
2013,NUMBER,_T,Total,jezero,1144
2013,NUMBER,M,Total,jezero,601
2013,NUMBER,F,Total,jezero,543
2013,NUMBER,_T,Total,kakanj,37441
2013,NUMBER,M,Total,kakanj,18651
2013,NUMBER,F,Total,kakanj,18790
2013,NUMBER,_T,Total,kalesija,33053
2013,NUMBER,M,Total,kalesija,16597
2013,NUMBER,F,Total,kalesija,16456
2013,NUMBER,_T,Total,kalinovik,2029
2013,NUMBER,M,Total,kalinovik,987
2013,NUMBER,F,Total,kalinovik,1042
2013,NUMBER,_T,Total,kiseljak,20722
2013,NUMBER,M,Total,kiseljak,10285
2013,NUMBER,F,Total,kiseljak,10437
2013,NUMBER,_T,Total,kladanj,12348
2013,NUMBER,M,Total,kladanj,6108
2013,NUMBER,F,Total,kladanj,6240
2013,NUMBER,_T,Total,kljuc,16744
2013,NUMBER,M,Total,kljuc,8365
2013,NUMBER,F,Total,kljuc,8379
2013,NUMBER,_T,Total,knezevo,9793
2013,NUMBER,M,Total,knezevo,4892
2013,NUMBER,F,Total,knezevo,4901
2013,NUMBER,_T,Total,konjic,25148
2013,NUMBER,M,Total,konjic,12360
2013,NUMBER,F,Total,konjic,12788
2013,NUMBER,_T,Total,kostajnica,5977
2013,NUMBER,M,Total,kostajnica,2967
2013,NUMBER,F,Total,kostajnica,3010
2013,NUMBER,_T,Total,kotor_varos,19710
2013,NUMBER,M,Total,kotor_varos,9818
2013,NUMBER,F,Total,kotor_varos,9892
2013,NUMBER,_T,Total,kozarska_dubica,21524
2013,NUMBER,M,Total,kozarska_dubica,10516
2013,NUMBER,F,Total,kozarska_dubica,11008
2013,NUMBER,_T,Total,kresevo,5273
2013,NUMBER,M,Total,kresevo,2597
2013,NUMBER,F,Total,kresevo,2676
2013,NUMBER,_T,Total,krupa_na_uni,1597
2013,NUMBER,M,Total,krupa_na_uni,862
2013,NUMBER,F,Total,krupa_na_uni,735
2013,NUMBER,_T,Total,kupres_fbih,5057
2013,NUMBER,M,Total,kupres_fbih,2541
2013,NUMBER,F,Total,kupres_fbih,2516
2013,NUMBER,_T,Total,kupres_rs,300
2013,NUMBER,M,Total,kupres_rs,160
2013,NUMBER,F,Total,kupres_rs,140
2013,NUMBER,_T,Total,laktasi,34966
2013,NUMBER,M,Total,laktasi,17320
2013,NUMBER,F,Total,laktasi,17646
2013,NUMBER,_T,Total,livno,34133
2013,NUMBER,M,Total,livno,17024
2013,NUMBER,F,Total,livno,17109
2013,NUMBER,_T,Total,lopare,15357
2013,NUMBER,M,Total,lopare,7749
2013,NUMBER,F,Total,lopare,7608
2013,NUMBER,_T,Total,lukavac,44520
2013,NUMBER,M,Total,lukavac,21786
2013,NUMBER,F,Total,lukavac,22734
2013,NUMBER,_T,Total,ljubinje,3511
2013,NUMBER,M,Total,ljubinje,1725
2013,NUMBER,F,Total,ljubinje,1786
2013,NUMBER,_T,Total,ljubuski,28184
2013,NUMBER,M,Total,ljubuski,14022
2013,NUMBER,F,Total,ljubuski,14162
2013,NUMBER,_T,Total,maglaj,23146
2013,NUMBER,M,Total,maglaj,11430
2013,NUMBER,F,Total,maglaj,11716
2013,NUMBER,_T,Total,milici,11441
2013,NUMBER,M,Total,milici,5798
2013,NUMBER,F,Total,milici,5643
2013,NUMBER,_T,Total,modrica,25720
2013,NUMBER,M,Total,modrica,12561
2013,NUMBER,F,Total,modrica,13159
2013,NUMBER,_T,Total,mostar,105797
2013,NUMBER,M,Total,mostar,51210
2013,NUMBER,F,Total,mostar,54587
2013,NUMBER,_T,Total,mrkonjic_grad,16671
2013,NUMBER,M,Total,mrkonjic_grad,8096
2013,NUMBER,F,Total,mrkonjic_grad,8575
2013,NUMBER,_T,Total,neum,4653
2013,NUMBER,M,Total,neum,2344
2013,NUMBER,F,Total,neum,2309
2013,NUMBER,_T,Total,nevesinje,12961
2013,NUMBER,M,Total,nevesinje,6462
2013,NUMBER,F,Total,nevesinje,6499
2013,NUMBER,_T,Total,novi_grad,27115
2013,NUMBER,M,Total,novi_grad,13594
2013,NUMBER,F,Total,novi_grad,13521
2013,NUMBER,_T,Total,sarajevo_novi_grad,118553
2013,NUMBER,M,Total,sarajevo_novi_grad,55735
2013,NUMBER,F,Total,sarajevo_novi_grad,62818
2013,NUMBER,_T,Total,novi_travnik,23832
2013,NUMBER,M,Total,novi_travnik,11862
2013,NUMBER,F,Total,novi_travnik,11970
2013,NUMBER,_T,Total,novo_gorazde,3117
2013,NUMBER,M,Total,novo_gorazde,1618
2013,NUMBER,F,Total,novo_gorazde,1499
2013,NUMBER,_T,Total,sarajevo_novo_sarajevo,64814
2013,NUMBER,M,Total,sarajevo_novo_sarajevo,29580
2013,NUMBER,F,Total,sarajevo_novo_sarajevo,35234
2013,NUMBER,_T,Total,odzak,18821
2013,NUMBER,M,Total,odzak,9373
2013,NUMBER,F,Total,odzak,9448
2013,NUMBER,_T,Total,olovo,10175
2013,NUMBER,M,Total,olovo,5084
2013,NUMBER,F,Total,olovo,5091
2013,NUMBER,_T,Total,orasje,19861
2013,NUMBER,M,Total,orasje,10059
2013,NUMBER,F,Total,orasje,9802
2013,NUMBER,_T,Total,osmaci,6016
2013,NUMBER,M,Total,osmaci,3065
2013,NUMBER,F,Total,osmaci,2951
2013,NUMBER,_T,Total,ostra_luka,2786
2013,NUMBER,M,Total,ostra_luka,1440
2013,NUMBER,F,Total,ostra_luka,1346
2013,NUMBER,_T,Total,pale_fbih,904
2013,NUMBER,M,Total,pale_fbih,456
2013,NUMBER,F,Total,pale_fbih,448
2013,NUMBER,_T,Total,pale_rs,20909
2013,NUMBER,M,Total,pale_rs,10038
2013,NUMBER,F,Total,pale_rs,10871
2013,NUMBER,_T,Total,pelagicevo,5220
2013,NUMBER,M,Total,pelagicevo,2609
2013,NUMBER,F,Total,pelagicevo,2611
2013,NUMBER,_T,Total,petrovac,361
2013,NUMBER,M,Total,petrovac,172
2013,NUMBER,F,Total,petrovac,189
2013,NUMBER,_T,Total,petrovo,6474
2013,NUMBER,M,Total,petrovo,3124
2013,NUMBER,F,Total,petrovo,3350
2013,NUMBER,_T,Total,posusje,20477
2013,NUMBER,M,Total,posusje,10287
2013,NUMBER,F,Total,posusje,10190
2013,NUMBER,_T,Total,prijedor,89397
2013,NUMBER,M,Total,prijedor,43863
2013,NUMBER,F,Total,prijedor,45534
2013,NUMBER,_T,Total,prnjavor,35956
2013,NUMBER,M,Total,prnjavor,17572
2013,NUMBER,F,Total,prnjavor,18384
2013,NUMBER,_T,Total,prozor,14280
2013,NUMBER,M,Total,prozor,7210
2013,NUMBER,F,Total,prozor,7070
2013,NUMBER,_T,Total,ravno,3219
2013,NUMBER,M,Total,ravno,1657
2013,NUMBER,F,Total,ravno,1562
2013,NUMBER,_T,Total,ribnik,6048
2013,NUMBER,M,Total,ribnik,3009
2013,NUMBER,F,Total,ribnik,3039
2013,NUMBER,_T,Total,rogatica,10723
2013,NUMBER,M,Total,rogatica,5270
2013,NUMBER,F,Total,rogatica,5453
2013,NUMBER,_T,Total,rudo,7963
2013,NUMBER,M,Total,rudo,4050
2013,NUMBER,F,Total,rudo,3913
2013,NUMBER,_T,Total,sanski_most,41475
2013,NUMBER,M,Total,sanski_most,20826
2013,NUMBER,F,Total,sanski_most,20649
2013,NUMBER,_T,Total,sapna,11178
2013,NUMBER,M,Total,sapna,5739
2013,NUMBER,F,Total,sapna,5439
2013,NUMBER,_T,Total,sokolac,12021
2013,NUMBER,M,Total,sokolac,5919
2013,NUMBER,F,Total,sokolac,6102
2013,NUMBER,_T,Total,srbac,17587
2013,NUMBER,M,Total,srbac,8623
2013,NUMBER,F,Total,srbac,8964
2013,NUMBER,_T,Total,srebrenica,13409
2013,NUMBER,M,Total,srebrenica,6602
2013,NUMBER,F,Total,srebrenica,6807
2013,NUMBER,_T,Total,srebrenik,39678
2013,NUMBER,M,Total,srebrenik,19348
2013,NUMBER,F,Total,srebrenik,20330
2013,NUMBER,_T,Total,sarajevo_stari_grad,36976
2013,NUMBER,M,Total,sarajevo_stari_grad,17482
2013,NUMBER,F,Total,sarajevo_stari_grad,19494
2013,NUMBER,_T,Total,stolac,14502
2013,NUMBER,M,Total,stolac,7326
2013,NUMBER,F,Total,stolac,7176
2013,NUMBER,_T,Total,samac,17273
2013,NUMBER,M,Total,samac,8385
2013,NUMBER,F,Total,samac,8888
2013,NUMBER,_T,Total,sekovici,6761
2013,NUMBER,M,Total,sekovici,3360
2013,NUMBER,F,Total,sekovici,3401
2013,NUMBER,_T,Total,sipovo,10293
2013,NUMBER,M,Total,sipovo,5221
2013,NUMBER,F,Total,sipovo,5072
2013,NUMBER,_T,Total,siroki_brijeg,28929
2013,NUMBER,M,Total,siroki_brijeg,14381
2013,NUMBER,F,Total,siroki_brijeg,14548
2013,NUMBER,_T,Total,teocak,7424
2013,NUMBER,M,Total,teocak,3767
2013,NUMBER,F,Total,teocak,3657
2013,NUMBER,_T,Total,teslic,38536
2013,NUMBER,M,Total,teslic,18679
2013,NUMBER,F,Total,teslic,19857
2013,NUMBER,_T,Total,tesanj,43063
2013,NUMBER,M,Total,tesanj,21376
2013,NUMBER,F,Total,tesanj,21687
2013,NUMBER,_T,Total,tomislavgrad,31592
2013,NUMBER,M,Total,tomislavgrad,16055
2013,NUMBER,F,Total,tomislavgrad,15537
2013,NUMBER,_T,Total,travnik,53482
2013,NUMBER,M,Total,travnik,26574
2013,NUMBER,F,Total,travnik,26908
2013,NUMBER,_T,Total,trebinje,29198
2013,NUMBER,M,Total,trebinje,14251
2013,NUMBER,F,Total,trebinje,14947
2013,NUMBER,_T,Total,trnovo_fbih,1502
2013,NUMBER,M,Total,trnovo_fbih,735
2013,NUMBER,F,Total,trnovo_fbih,767
2013,NUMBER,_T,Total,trnovo_rs,2050
2013,NUMBER,M,Total,trnovo_rs,989
2013,NUMBER,F,Total,trnovo_rs,1061
2013,NUMBER,_T,Total,tuzla,110979
2013,NUMBER,M,Total,tuzla,52745
2013,NUMBER,F,Total,tuzla,58234
2013,NUMBER,_T,Total,ugljevik,15710
2013,NUMBER,M,Total,ugljevik,7937
2013,NUMBER,F,Total,ugljevik,7773
2013,NUMBER,_T,Total,usora,6603
2013,NUMBER,M,Total,usora,3266
2013,NUMBER,F,Total,usora,3337
2013,NUMBER,_T,Total,vares,8892
2013,NUMBER,M,Total,vares,4373
2013,NUMBER,F,Total,vares,4519
2013,NUMBER,_T,Total,velika_kladusa,40419
2013,NUMBER,M,Total,velika_kladusa,19889
2013,NUMBER,F,Total,velika_kladusa,20530
2013,NUMBER,_T,Total,visoko,39938
2013,NUMBER,M,Total,visoko,19705
2013,NUMBER,F,Total,visoko,20233
2013,NUMBER,_T,Total,visegrad,10668
2013,NUMBER,M,Total,visegrad,5106
2013,NUMBER,F,Total,visegrad,5562
2013,NUMBER,_T,Total,vitez,25836
2013,NUMBER,M,Total,vitez,12767
2013,NUMBER,F,Total,vitez,13069
2013,NUMBER,_T,Total,vlasenica,11467
2013,NUMBER,M,Total,vlasenica,5638
2013,NUMBER,F,Total,vlasenica,5829
2013,NUMBER,_T,Total,sarajevo_vogosca,26343
2013,NUMBER,M,Total,sarajevo_vogosca,12606
2013,NUMBER,F,Total,sarajevo_vogosca,13737
2013,NUMBER,_T,Total,vukosavlje,4667
2013,NUMBER,M,Total,vukosavlje,2340
2013,NUMBER,F,Total,vukosavlje,2327
2013,NUMBER,_T,Total,zavidovici,35988
2013,NUMBER,M,Total,zavidovici,17883
2013,NUMBER,F,Total,zavidovici,18105
2013,NUMBER,_T,Total,zenica,110663
2013,NUMBER,M,Total,zenica,54660
2013,NUMBER,F,Total,zenica,56003
2013,NUMBER,_T,Total,zvornik,58856
2013,NUMBER,M,Total,zvornik,29270
2013,NUMBER,F,Total,zvornik,29586
2013,NUMBER,_T,Total,zepce,30219
2013,NUMBER,M,Total,zepce,15335
2013,NUMBER,F,Total,zepce,14884
2013,NUMBER,_T,Total,zivinice,57765
2013,NUMBER,M,Total,zivinice,28714
2013,NUMBER,F,Total,zivinice,29051
2013,NUMBER,_T,0-4,banja_luka,9610
2013,NUMBER,M,0-4,banja_luka,4898
2013,NUMBER,F,0-4,banja_luka,4712
2013,NUMBER,_T,0-4,banovici,1206
2013,NUMBER,M,0-4,banovici,614
2013,NUMBER,F,0-4,banovici,592
2013,NUMBER,_T,0-4,berkovici,93
2013,NUMBER,M,0-4,berkovici,45
2013,NUMBER,F,0-4,berkovici,48
2013,NUMBER,_T,0-4,bihac,2652
2013,NUMBER,M,0-4,bihac,1361
2013,NUMBER,F,0-4,bihac,1291
2013,NUMBER,_T,0-4,bijeljina,5080
2013,NUMBER,M,0-4,bijeljina,2637
2013,NUMBER,F,0-4,bijeljina,2443
2013,NUMBER,_T,0-4,bileca,487
2013,NUMBER,M,0-4,bileca,255
2013,NUMBER,F,0-4,bileca,232
2013,NUMBER,_T,0-4,bosanska_krupa,1423
2013,NUMBER,M,0-4,bosanska_krupa,735
2013,NUMBER,F,0-4,bosanska_krupa,688
2013,NUMBER,_T,0-4,bosanski_petrovac,249
2013,NUMBER,M,0-4,bosanski_petrovac,126
2013,NUMBER,F,0-4,bosanski_petrovac,123
2013,NUMBER,_T,0-4,bosansko_grahovo,69
2013,NUMBER,M,0-4,bosansko_grahovo,39
2013,NUMBER,F,0-4,bosansko_grahovo,30
2013,NUMBER,_T,0-4,bratunac,948
2013,NUMBER,M,0-4,bratunac,509
2013,NUMBER,F,0-4,bratunac,439
2013,NUMBER,_T,0-4,brcko,4165
2013,NUMBER,M,0-4,brcko,2178
2013,NUMBER,F,0-4,brcko,1987
2013,NUMBER,_T,0-4,breza,698
2013,NUMBER,M,0-4,breza,348
2013,NUMBER,F,0-4,breza,350
2013,NUMBER,_T,0-4,brod,771
2013,NUMBER,M,0-4,brod,402
2013,NUMBER,F,0-4,brod,369
2013,NUMBER,_T,0-4,bugojno,1484
2013,NUMBER,M,0-4,bugojno,786
2013,NUMBER,F,0-4,bugojno,698
2013,NUMBER,_T,0-4,busovaca,961
2013,NUMBER,M,0-4,busovaca,494
2013,NUMBER,F,0-4,busovaca,467
2013,NUMBER,_T,0-4,buzim,1405
2013,NUMBER,M,0-4,buzim,732
2013,NUMBER,F,0-4,buzim,673
2013,NUMBER,_T,0-4,cazin,3940
2013,NUMBER,M,0-4,cazin,2050
2013,NUMBER,F,0-4,cazin,1890
2013,NUMBER,_T,0-4,sarajevo_centar,2588
2013,NUMBER,M,0-4,sarajevo_centar,1308
2013,NUMBER,F,0-4,sarajevo_centar,1280
2013,NUMBER,_T,0-4,cajnice,185
2013,NUMBER,M,0-4,cajnice,85
2013,NUMBER,F,0-4,cajnice,100
2013,NUMBER,_T,0-4,capljina,1233
2013,NUMBER,M,0-4,capljina,628
2013,NUMBER,F,0-4,capljina,605
2013,NUMBER,_T,0-4,celic,475
2013,NUMBER,M,0-4,celic,229
2013,NUMBER,F,0-4,celic,246
2013,NUMBER,_T,0-4,celinac,769
2013,NUMBER,M,0-4,celinac,399
2013,NUMBER,F,0-4,celinac,370
2013,NUMBER,_T,0-4,citluk,1002
2013,NUMBER,M,0-4,citluk,480
2013,NUMBER,F,0-4,citluk,522
2013,NUMBER,_T,0-4,derventa,1170
2013,NUMBER,M,0-4,derventa,580
2013,NUMBER,F,0-4,derventa,590
2013,NUMBER,_T,0-4,doboj,3330
2013,NUMBER,M,0-4,doboj,1695
2013,NUMBER,F,0-4,doboj,1635
2013,NUMBER,_T,0-4,doboj_istok,541
2013,NUMBER,M,0-4,doboj_istok,292
2013,NUMBER,F,0-4,doboj_istok,249
2013,NUMBER,_T,0-4,doboj_jug,235
2013,NUMBER,M,0-4,doboj_jug,120
2013,NUMBER,F,0-4,doboj_jug,115
2013,NUMBER,_T,0-4,dobretici,30
2013,NUMBER,M,0-4,dobretici,18
2013,NUMBER,F,0-4,dobretici,12
2013,NUMBER,_T,0-4,domaljevac_samac,163
2013,NUMBER,M,0-4,domaljevac_samac,89
2013,NUMBER,F,0-4,domaljevac_samac,74
2013,NUMBER,_T,0-4,donji_vakuf,680
2013,NUMBER,M,0-4,donji_vakuf,338
2013,NUMBER,F,0-4,donji_vakuf,342
2013,NUMBER,_T,0-4,donji_zabar,145
2013,NUMBER,M,0-4,donji_zabar,70
2013,NUMBER,F,0-4,donji_zabar,75
2013,NUMBER,_T,0-4,drvar,210
2013,NUMBER,M,0-4,drvar,106
2013,NUMBER,F,0-4,drvar,104
2013,NUMBER,_T,0-4,foca_fbih,85
2013,NUMBER,M,0-4,foca_fbih,50
2013,NUMBER,F,0-4,foca_fbih,35
2013,NUMBER,_T,0-4,foca_rs,644
2013,NUMBER,M,0-4,foca_rs,367
2013,NUMBER,F,0-4,foca_rs,277
2013,NUMBER,_T,0-4,fojnica,557
2013,NUMBER,M,0-4,fojnica,294
2013,NUMBER,F,0-4,fojnica,263
2013,NUMBER,_T,0-4,gacko,419
2013,NUMBER,M,0-4,gacko,206
2013,NUMBER,F,0-4,gacko,213
2013,NUMBER,_T,0-4,glamoc,145
2013,NUMBER,M,0-4,glamoc,77
2013,NUMBER,F,0-4,glamoc,68
2013,NUMBER,_T,0-4,gorazde,978
2013,NUMBER,M,0-4,gorazde,513
2013,NUMBER,F,0-4,gorazde,465
2013,NUMBER,_T,0-4,gornji_vakuf_uskoplje,1072
2013,NUMBER,M,0-4,gornji_vakuf_uskoplje,559
2013,NUMBER,F,0-4,gornji_vakuf_uskoplje,513
2013,NUMBER,_T,0-4,gracanica,2600
2013,NUMBER,M,0-4,gracanica,1276
2013,NUMBER,F,0-4,gracanica,1324
2013,NUMBER,_T,0-4,gradacac,2100
2013,NUMBER,M,0-4,gradacac,1060
2013,NUMBER,F,0-4,gradacac,1040
2013,NUMBER,_T,0-4,gradiska,2092
2013,NUMBER,M,0-4,gradiska,1044
2013,NUMBER,F,0-4,gradiska,1048
2013,NUMBER,_T,0-4,grude,805
2013,NUMBER,M,0-4,grude,409
2013,NUMBER,F,0-4,grude,396
2013,NUMBER,_T,0-4,sarajevo_hadzici,1380
2013,NUMBER,M,0-4,sarajevo_hadzici,682
2013,NUMBER,F,0-4,sarajevo_hadzici,698
2013,NUMBER,_T,0-4,han_pijesak,134
2013,NUMBER,M,0-4,han_pijesak,72
2013,NUMBER,F,0-4,han_pijesak,62
2013,NUMBER,_T,0-4,sarajevo_ilidza,3915
2013,NUMBER,M,0-4,sarajevo_ilidza,2013
2013,NUMBER,F,0-4,sarajevo_ilidza,1902
2013,NUMBER,_T,0-4,sarajevo_ilijas,1085
2013,NUMBER,M,0-4,sarajevo_ilijas,556
2013,NUMBER,F,0-4,sarajevo_ilijas,529
2013,NUMBER,_T,0-4,istocna_ilidza,649
2013,NUMBER,M,0-4,istocna_ilidza,342
2013,NUMBER,F,0-4,istocna_ilidza,307
2013,NUMBER,_T,0-4,istocni_mostar,7
2013,NUMBER,M,0-4,istocni_mostar,4
2013,NUMBER,F,0-4,istocni_mostar,3
2013,NUMBER,_T,0-4,istocni_stari_grad,40
2013,NUMBER,M,0-4,istocni_stari_grad,23
2013,NUMBER,F,0-4,istocni_stari_grad,17
2013,NUMBER,_T,0-4,istocno_novo_sarajevo,625
2013,NUMBER,M,0-4,istocno_novo_sarajevo,300
2013,NUMBER,F,0-4,istocno_novo_sarajevo,325
2013,NUMBER,_T,0-4,jablanica,440
2013,NUMBER,M,0-4,jablanica,231
2013,NUMBER,F,0-4,jablanica,209
2013,NUMBER,_T,0-4,jajce,1311
2013,NUMBER,M,0-4,jajce,672
2013,NUMBER,F,0-4,jajce,639
2013,NUMBER,_T,0-4,jezero,44
2013,NUMBER,M,0-4,jezero,22
2013,NUMBER,F,0-4,jezero,22
2013,NUMBER,_T,0-4,kakanj,2102
2013,NUMBER,M,0-4,kakanj,1130
2013,NUMBER,F,0-4,kakanj,972
2013,NUMBER,_T,0-4,kalesija,1841
2013,NUMBER,M,0-4,kalesija,936
2013,NUMBER,F,0-4,kalesija,905
2013,NUMBER,_T,0-4,kalinovik,52
2013,NUMBER,M,0-4,kalinovik,25
2013,NUMBER,F,0-4,kalinovik,27
