Year,UNIT_MEASURE,Type of school,Sex,Value
2017,Number,Gymnasium,F,18662
2018,Number,Gymnasium,F,17037
2019,Number,Gymnasium,F,15918
2020,Number,Gymnasium,F,15416
2011,Number,Technical schools,F,42080
2012,Number,Technical schools,F,43529
2013,Number,Technical schools,F,41527
2014,Number,Technical schools,F,39048
2015,Number,Technical schools,F,36546
2016,Number,Technical schools,F,35435
2017,Number,Technical schools,F,34969
2018,Number,Technical schools,F,33458
2019,Number,Technical schools,F,32816
2020,Number,Technical schools,F,32429
2011,Number,Art schools,F,857
2012,Number,Art schools,F,875
2013,Number,Art schools,F,864
2014,Number,Art schools,F,779
2015,Number,Art schools,F,745
2016,Number,Art schools,F,749
2017,Number,Art schools,F,722
2018,Number,Art schools,F,719
2019,Number,Art schools,F,736
2020,Number,Art schools,F,740
2011,Number,Religion schools,F,1006
2012,Number,Religion schools,F,1128
2013,Number,Religion schools,F,1109
2014,Number,Religion schools,F,1116
2015,Number,Religion schools,F,1119
2016,Number,Religion schools,F,1128
2017,Number,Religion schools,F,1188
2018,Number,Religion schools,F,1170
2019,Number,Religion schools,F,1144
2020,Number,Religion schools,F,1169
2011,Number,Vocational schools,F,10692
2012,Number,Vocational schools,F,10105
2013,Number,Vocational schools,F,8582
2014,Number,Vocational schools,F,7375
2015,Number,Vocational schools,F,7058
2016,Number,Vocational schools,F,6896
2017,Number,Vocational schools,F,6527
2018,Number,Vocational schools,F,6143
2019,Number,Vocational schools,F,5742
2020,Number,Vocational schools,F,5466
2011,Number,High schools for children with special needs,F,152
2012,Number,High schools for children with special needs,F,159
2013,Number,High schools for children with special needs,F,150
2014,Number,High schools for children with special needs,F,138
2015,Number,High schools for children with special needs,F,155
2016,Number,High schools for children with special needs,F,148
2017,Number,High schools for children with special needs,F,146
2018,Number,High schools for children with special needs,F,127
2019,Number,High schools for children with special needs,F,112
2020,Number,High schools for children with special needs,F,116
