Year,UNIT_MEASURE,Врста образовања,Пол,Value
2015,Број,"Пословање, администрација, и право",M,42
2015,Број,"Природне науке, математика, и статистика",M,0
2015,Број,Информационе и комуникационе технологије,M,0
2015,Број,"Инжењерство, производња и грађевинарство",M,0
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,0
2015,Број,Здравство и социјална заштита,M,166
2015,Број,Услуге,M,0
2015,Број,Непознато,M,0
2016,Број,Укупно,M,234
2016,Број,Образовање,M,0
2016,Број,Умјетност и хуманистичке науке,M,13
2016,Број,"Друштвене науке, новинарство и информисање",M,0
2016,Број,"Пословање, администрација, и право",M,39
2016,Број,"Природне науке, математика, и статистика",M,0
2016,Број,Информационе и комуникационе технологије,M,0
2016,Број,"Инжењерство, производња и грађевинарство",M,1
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,8
2016,Број,Здравство и социјална заштита,M,173
2016,Број,Услуге,M,0
2016,Број,Непознато,M,0
2017,Број,Укупно,M,273
2017,Број,Образовање,M,0
2017,Број,Умјетност и хуманистичке науке,M,13
2017,Број,"Друштвене науке, новинарство и информисање",M,0
2017,Број,"Пословање, администрација, и право",M,4
2017,Број,"Природне науке, математика, и статистика",M,0
2017,Број,Информационе и комуникационе технологије,M,0
2017,Број,"Инжењерство, производња и грађевинарство",M,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,29
2017,Број,Здравство и социјална заштита,M,227
2017,Број,Услуге,M,0
2017,Број,Непознато,M,0
2018,Број,Укупно,M,249
2018,Број,Образовање,M,0
2018,Број,Умјетност и хуманистичке науке,M,15
2018,Број,"Друштвене науке, новинарство и информисање",M,0
2018,Број,"Пословање, администрација, и право",M,15
2018,Број,"Природне науке, математика, и статистика",M,0
2018,Број,Информационе и комуникационе технологије,M,0
2018,Број,"Инжењерство, производња и грађевинарство",M,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,31
2018,Број,Здравство и социјална заштита,M,188
2018,Број,Услуге,M,0
2018,Број,Непознато,M,0
2019,Број,Укупно,M,398
2019,Број,Образовање,M,1
2019,Број,Умјетност и хуманистичке науке,M,12
2019,Број,"Друштвене науке, новинарство и информисање",M,0
2019,Број,"Пословање, администрација, и право",M,30
2019,Број,"Природне науке, математика, и статистика",M,0
2019,Број,Информационе и комуникационе технологије,M,2
2019,Број,"Инжењерство, производња и грађевинарство",M,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,33
2019,Број,Здравство и социјална заштита,M,320
2019,Број,Услуге,M,0
2019,Број,Непознато,M,0
2020,Број,Укупно,M,346
2020,Број,Образовање,M,0
2020,Број,Умјетност и хуманистичке науке,M,30
2020,Број,"Друштвене науке, новинарство и информисање",M,0
2020,Број,"Пословање, администрација, и право",M,0
2020,Број,"Природне науке, математика, и статистика",M,0
2020,Број,Информационе и комуникационе технологије,M,0
2020,Број,"Инжењерство, производња и грађевинарство",M,0
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",M,23
2020,Број,Здравство и социјална заштита,M,293
2020,Број,Услуге,M,0
2020,Број,Непознато,M,0
2014,Број,Укупно,Ж,544
2014,Број,Образовање,Ж,0
2014,Број,Умјетност и хуманистичке науке,Ж,10
2014,Број,"Друштвене науке, новинарство и информисање",Ж,0
2014,Број,"Пословање, администрација, и право",Ж,89
2014,Број,"Природне науке, математика, и статистика",Ж,0
2014,Број,Информационе и комуникационе технологије,Ж,0
2014,Број,"Инжењерство, производња и грађевинарство",Ж,0
2014,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,13
2014,Број,Здравство и социјална заштита,Ж,432
2014,Број,Услуге,Ж,0
2014,Број,Непознато,Ж,0
2015,Број,Укупно,Ж,607
2015,Број,Образовање,Ж,0
2015,Број,Умјетност и хуманистичке науке,Ж,12
2015,Број,"Друштвене науке, новинарство и информисање",Ж,0
2015,Број,"Пословање, администрација, и право",Ж,78
2015,Број,"Природне науке, математика, и статистика",Ж,0
2015,Број,Информационе и комуникационе технологије,Ж,0
2015,Број,"Инжењерство, производња и грађевинарство",Ж,0
2015,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,0
2015,Број,Здравство и социјална заштита,Ж,517
2015,Број,Услуге,Ж,0
2015,Број,Непознато,Ж,0
2016,Број,Укупно,Ж,625
2016,Број,Образовање,Ж,0
2016,Број,Умјетност и хуманистичке науке,Ж,13
2016,Број,"Друштвене науке, новинарство и информисање",Ж,0
2016,Број,"Пословање, администрација, и право",Ж,72
2016,Број,"Природне науке, математика, и статистика",Ж,0
2016,Број,Информационе и комуникационе технологије,Ж,0
2016,Број,"Инжењерство, производња и грађевинарство",Ж,0
2016,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,21
2016,Број,Здравство и социјална заштита,Ж,519
2016,Број,Услуге,Ж,0
2016,Број,Непознато,Ж,0
2017,Број,Укупно,Ж,601
2017,Број,Образовање,Ж,0
2017,Број,Умјетност и хуманистичке науке,Ж,21
2017,Број,"Друштвене науке, новинарство и информисање",Ж,0
2017,Број,"Пословање, администрација, и право",Ж,15
2017,Број,"Природне науке, математика, и статистика",Ж,0
2017,Број,Информационе и комуникационе технологије,Ж,0
2017,Број,"Инжењерство, производња и грађевинарство",Ж,0
2017,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,27
2017,Број,Здравство и социјална заштита,Ж,538
2017,Број,Услуге,Ж,0
2017,Број,Непознато,Ж,0
2018,Број,Укупно,Ж,577
2018,Број,Образовање,Ж,0
2018,Број,Умјетност и хуманистичке науке,Ж,10
2018,Број,"Друштвене науке, новинарство и информисање",Ж,0
2018,Број,"Пословање, администрација, и право",Ж,27
2018,Број,"Природне науке, математика, и статистика",Ж,0
2018,Број,Информационе и комуникационе технологије,Ж,0
2018,Број,"Инжењерство, производња и грађевинарство",Ж,0
2018,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,39
2018,Број,Здравство и социјална заштита,Ж,501
2018,Број,Услуге,Ж,0
2018,Број,Непознато,Ж,0
2019,Број,Укупно,Ж,730
2019,Број,Образовање,Ж,0
2019,Број,Умјетност и хуманистичке науке,Ж,7
2019,Број,"Друштвене науке, новинарство и информисање",Ж,0
2019,Број,"Пословање, администрација, и право",Ж,32
2019,Број,"Природне науке, математика, и статистика",Ж,0
2019,Број,Информационе и комуникационе технологије,Ж,2
2019,Број,"Инжењерство, производња и грађевинарство",Ж,0
2019,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,26
2019,Број,Здравство и социјална заштита,Ж,663
2019,Број,Услуге,Ж,0
2019,Број,Непознато,Ж,0
2020,Број,Укупно,Ж,657
2020,Број,Образовање,Ж,0
2020,Број,Умјетност и хуманистичке науке,Ж,12
2020,Број,"Друштвене науке, новинарство и информисање",Ж,0
2020,Број,"Пословање, администрација, и право",Ж,0
2020,Број,"Природне науке, математика, и статистика",Ж,0
2020,Број,Информационе и комуникационе технологије,Ж,0
2020,Број,"Инжењерство, производња и грађевинарство",Ж,0
2020,Број,"Пољопривреда, шумарство, рибарство и ветеринарство",Ж,22
2020,Број,Здравство и социјална заштита,Ж,623
2020,Број,Услуге,Ж,0
2020,Број,Непознато,Ж,0
