Year,Vrsta invaliditeta,Spol,Starosna dob,UNIT_MEASURE,Value
2013,Poteškoće sa komunikacijom,M,60-64,Broj,198
2013,Višestruke poteškoće,M,60-64,Broj,5203
2013,Poteškoće sa vidom,M,65+,Broj,8036
2013,Poteškoće sa sluhom,M,65+,Broj,6620
2013,Poteškoće sa hodom ili penjanjem uz stepenice,M,65+,Broj,13529
2013,Poteškoće sa pamćenjem,M,65+,Broj,1092
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,M,65+,Broj,266
2013,Poteškoće sa komunikacijom,M,65+,Broj,360
2013,Višestruke poteškoće,M,65+,Broj,22432
2013,Poteškoće sa vidom,Ž,0-14,Broj,513
2013,Poteškoće sa sluhom,Ž,0-14,Broj,116
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,0-14,Broj,301
2013,Poteškoće sa pamćenjem,Ž,0-14,Broj,77
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,0-14,Broj,60
2013,Poteškoće sa komunikacijom,Ž,0-14,Broj,103
2013,Višestruke poteškoće,Ž,0-14,Broj,749
2013,Poteškoće sa vidom,Ž,15-19,Broj,432
2013,Poteškoće sa sluhom,Ž,15-19,Broj,90
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,15-19,Broj,210
2013,Poteškoće sa pamćenjem,Ž,15-19,Broj,34
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,15-19,Broj,13
2013,Poteškoće sa komunikacijom,Ž,15-19,Broj,37
2013,Višestruke poteškoće,Ž,15-19,Broj,429
2013,Poteškoće sa vidom,Ž,20-29,Broj,843
2013,Poteškoće sa sluhom,Ž,20-29,Broj,147
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,20-29,Broj,467
2013,Poteškoće sa pamćenjem,Ž,20-29,Broj,124
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,20-29,Broj,28
2013,Poteškoće sa komunikacijom,Ž,20-29,Broj,75
2013,Višestruke poteškoće,Ž,20-29,Broj,893
2013,Poteškoće sa vidom,Ž,30-49,Broj,3528
2013,Poteškoće sa sluhom,Ž,30-49,Broj,738
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,30-49,Broj,4950
2013,Poteškoće sa pamćenjem,Ž,30-49,Broj,849
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,30-49,Broj,103
2013,Poteškoće sa komunikacijom,Ž,30-49,Broj,241
2013,Višestruke poteškoće,Ž,30-49,Broj,4025
2013,Poteškoće sa vidom,Ž,50-59,Broj,6782
2013,Poteškoće sa sluhom,Ž,50-59,Broj,1216
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,50-59,Broj,9927
2013,Poteškoće sa pamćenjem,Ž,50-59,Broj,865
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,50-59,Broj,80
2013,Poteškoće sa komunikacijom,Ž,50-59,Broj,150
2013,Višestruke poteškoće,Ž,50-59,Broj,7822
2013,Poteškoće sa vidom,Ž,60-64,Broj,4034
2013,Poteškoće sa sluhom,Ž,60-64,Broj,857
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,60-64,Broj,7055
2013,Poteškoće sa pamćenjem,Ž,60-64,Broj,430
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,60-64,Broj,43
2013,Poteškoće sa komunikacijom,Ž,60-64,Broj,61
2013,Višestruke poteškoće,Ž,60-64,Broj,5922
2013,Poteškoće sa vidom,Ž,65+,Broj,12600
2013,Poteškoće sa sluhom,Ž,65+,Broj,5885
2013,Poteškoće sa hodom ili penjanjem uz stepenice,Ž,65+,Broj,30877
2013,Poteškoće sa pamćenjem,Ž,65+,Broj,1744
2013,Poteškoće sa odjevanjem i održavanjem osobne higijene,Ž,65+,Broj,321
2013,Poteškoće sa komunikacijom,Ž,65+,Broj,226
2013,Višestruke poteškoće,Ž,65+,Broj,44011
