Year,UNIT_MEASURE,Type of school,Sex,Value
2015,Number,Technical schools,M,10911
2016,Number,Technical schools,M,9580
2017,Number,Technical schools,M,7882
2018,Number,Technical schools,M,8200
2019,Number,Technical schools,M,8309
2020,Number,Technical schools,M,7844
2011,Number,Art schools,M,113
2012,Number,Art schools,M,120
2013,Number,Art schools,M,137
2014,Number,Art schools,M,133
2015,Number,Art schools,M,161
2016,Number,Art schools,M,111
2017,Number,Art schools,M,80
2018,Number,Art schools,M,108
2019,Number,Art schools,M,111
2020,Number,Art schools,M,80
2011,Number,Religion schools,M,228
2012,Number,Religion schools,M,176
2013,Number,Religion schools,M,209
2014,Number,Religion schools,M,260
2015,Number,Religion schools,M,296
2016,Number,Religion schools,M,242
2017,Number,Religion schools,M,241
2018,Number,Religion schools,M,253
2019,Number,Religion schools,M,251
2020,Number,Religion schools,M,259
2011,Number,Vocational schools,M,5576
2012,Number,Vocational schools,M,6443
2013,Number,Vocational schools,M,7094
2014,Number,Vocational schools,M,7549
2015,Number,Vocational schools,M,6355
2016,Number,Vocational schools,M,5047
2017,Number,Vocational schools,M,5142
2018,Number,Vocational schools,M,5068
2019,Number,Vocational schools,M,4947
2020,Number,Vocational schools,M,5195
2011,Number,High schools for children with special needs,M,65
2012,Number,High schools for children with special needs,M,60
2013,Number,High schools for children with special needs,M,78
2014,Number,High schools for children with special needs,M,132
2015,Number,High schools for children with special needs,M,79
2016,Number,High schools for children with special needs,M,72
2017,Number,High schools for children with special needs,M,67
2018,Number,High schools for children with special needs,M,82
2019,Number,High schools for children with special needs,M,82
2020,Number,High schools for children with special needs,M,66
2011,Number,Both sexes,F,17327
2012,Number,Both sexes,F,16638
2013,Number,Both sexes,F,19735
2014,Number,Both sexes,F,21402
2015,Number,Both sexes,F,21088
2016,Number,Both sexes,F,17433
2017,Number,Both sexes,F,15454
2018,Number,Both sexes,F,16383
2019,Number,Both sexes,F,16021
2020,Number,Both sexes,F,15158
2011,Number,Gymnasium,F,5617
2012,Number,Gymnasium,F,5080
2013,Number,Gymnasium,F,6090
2014,Number,Gymnasium,F,6909
2015,Number,Gymnasium,F,7492
2016,Number,Gymnasium,F,5798
2017,Number,Gymnasium,F,4998
2018,Number,Gymnasium,F,4930
2019,Number,Gymnasium,F,4643
2020,Number,Gymnasium,F,4472
2011,Number,Technical schools,F,8716
2012,Number,Technical schools,F,8220
2013,Number,Technical schools,F,9944
2014,Number,Technical schools,F,10730
2015,Number,Technical schools,F,10515
2016,Number,Technical schools,F,9037
2017,Number,Technical schools,F,7933
2018,Number,Technical schools,F,8788
2019,Number,Technical schools,F,8783
2020,Number,Technical schools,F,8272
2011,Number,Art schools,F,163
2012,Number,Art schools,F,173
2013,Number,Art schools,F,179
2014,Number,Art schools,F,185
2015,Number,Art schools,F,196
2016,Number,Art schools,F,177
2017,Number,Art schools,F,134
2018,Number,Art schools,F,194
2019,Number,Art schools,F,170
2020,Number,Art schools,F,161
2011,Number,Religion schools,F,219
2012,Number,Religion schools,F,180
2013,Number,Religion schools,F,251
2014,Number,Religion schools,F,257
2015,Number,Religion schools,F,306
2016,Number,Religion schools,F,261
2017,Number,Religion schools,F,235
2018,Number,Religion schools,F,277
2019,Number,Religion schools,F,302
2020,Number,Religion schools,F,259
2011,Number,Vocational schools,F,2578
2012,Number,Vocational schools,F,2943
2013,Number,Vocational schools,F,3237
2014,Number,Vocational schools,F,3257
2015,Number,Vocational schools,F,2535
2016,Number,Vocational schools,F,2114
2017,Number,Vocational schools,F,2118
2018,Number,Vocational schools,F,2156
2019,Number,Vocational schools,F,2071
2020,Number,Vocational schools,F,1954
2011,Number,High schools for children with special needs,F,34
2012,Number,High schools for children with special needs,F,42
2013,Number,High schools for children with special needs,F,34
2014,Number,High schools for children with special needs,F,64
2015,Number,High schools for children with special needs,F,44
2016,Number,High schools for children with special needs,F,46
2017,Number,High schools for children with special needs,F,36
2018,Number,High schools for children with special needs,F,38
2019,Number,High schools for children with special needs,F,52
2020,Number,High schools for children with special needs,F,40
