Year,UNIT_MEASURE,Type of education,Sex,Value
2018,Number,Health and social protection,F,142
2018,Number,Services,F,26
2018,Number,Unknown,F,0
2019,Number,Total,Both sexes,1022
2019,Number,Education,Both sexes,40
2019,Number,Arts and humanities,Both sexes,119
2019,Number,"Social sciences, journalism and information",Both sexes,173
2019,Number,Business administration and the law,Both sexes,183
2019,Number,"Natural sciences, mathematics and statistics",Both sexes,85
2019,Number,Information and communication technologies,Both sexes,12
2019,Number,"Engineering, manufacturing and construction",Both sexes,88
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,97
2019,Number,Health and social protection,Both sexes,173
2019,Number,Services,Both sexes,52
2019,Number,Unknown,Both sexes,0
2019,Number,Total,M,492
2019,Number,Education,M,20
2019,Number,Arts and humanities,M,48
2019,Number,"Social sciences, journalism and information",M,91
2019,Number,Business administration and the law,M,97
2019,Number,"Natural sciences, mathematics and statistics",M,36
2019,Number,Information and communication technologies,M,7
2019,Number,"Engineering, manufacturing and construction",M,54
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,17
2019,Number,Health and social protection,M,88
2019,Number,Services,M,34
2019,Number,Unknown,M,0
2019,Number,Total,F,530
2019,Number,Education,F,20
2019,Number,Arts and humanities,F,71
2019,Number,"Social sciences, journalism and information",F,82
2019,Number,Business administration and the law,F,86
2019,Number,"Natural sciences, mathematics and statistics",F,49
2019,Number,Information and communication technologies,F,5
2019,Number,"Engineering, manufacturing and construction",F,25
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,24
2019,Number,Health and social protection,F,150
2019,Number,Services,F,18
2019,Number,Unknown,F,0
2020,Number,Total,Both sexes,1208
2020,Number,Education,Both sexes,54
2020,Number,Arts and humanities,Both sexes,116
2020,Number,"Social sciences, journalism and information",Both sexes,56
2020,Number,Business administration and the law,Both sexes,188
2020,Number,"Natural sciences, mathematics and statistics",Both sexes,116
2020,Number,Information and communication technologies,Both sexes,56
2020,Number,"Engineering, manufacturing and construction",Both sexes,163
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,43
2020,Number,Health and social protection,Both sexes,371
2020,Number,Services,Both sexes,29
2020,Number,Unknown,Both sexes,16
2020,Number,Total,M,606
2020,Number,Education,M,22
2020,Number,Arts and humanities,M,40
2020,Number,"Social sciences, journalism and information",M,28
2020,Number,Business administration and the law,M,99
2020,Number,"Natural sciences, mathematics and statistics",M,50
2020,Number,Information and communication technologies,M,41
2020,Number,"Engineering, manufacturing and construction",M,130
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,22
2020,Number,Health and social protection,M,151
2020,Number,Services,M,13
2020,Number,Unknown,M,10
2020,Number,Total,F,602
2020,Number,Education,F,32
2020,Number,Arts and humanities,F,76
2020,Number,"Social sciences, journalism and information",F,28
2020,Number,Business administration and the law,F,89
2020,Number,"Natural sciences, mathematics and statistics",F,66
2020,Number,Information and communication technologies,F,15
2020,Number,"Engineering, manufacturing and construction",F,33
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,21
2020,Number,Health and social protection,F,220
2020,Number,Services,F,16
2020,Number,Unknown,F,6
