Year,UNIT_MEASURE,Type of education,Sex,Value
2016,Number,Unknown,F,0
2017,Number,Total,Both sexes,285
2017,Number,Education,Both sexes,14
2017,Number,Arts and humanities,Both sexes,34
2017,Number,"Social sciences, journalism and information",Both sexes,31
2017,Number,Business administration and the law,Both sexes,63
2017,Number,"Natural sciences, mathematics and statistics",Both sexes,33
2017,Number,Information and communication technologies,Both sexes,8
2017,Number,"Engineering, manufacturing and construction",Both sexes,38
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,10
2017,Number,Health and social protection,Both sexes,47
2017,Number,Services,Both sexes,4
2017,Number,Unknown,Both sexes,3
2017,Number,Total,M,152
2017,Number,Education,M,5
2017,Number,Arts and humanities,M,14
2017,Number,"Social sciences, journalism and information",M,20
2017,Number,Business administration and the law,M,36
2017,Number,"Natural sciences, mathematics and statistics",M,12
2017,Number,Information and communication technologies,M,4
2017,Number,"Engineering, manufacturing and construction",M,28
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,8
2017,Number,Health and social protection,M,21
2017,Number,Services,M,3
2017,Number,Unknown,M,1
2017,Number,Total,F,133
2017,Number,Education,F,9
2017,Number,Arts and humanities,F,20
2017,Number,"Social sciences, journalism and information",F,11
2017,Number,Business administration and the law,F,27
2017,Number,"Natural sciences, mathematics and statistics",F,21
2017,Number,Information and communication technologies,F,4
2017,Number,"Engineering, manufacturing and construction",F,10
2017,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,2
2017,Number,Health and social protection,F,26
2017,Number,Services,F,1
2017,Number,Unknown,F,2
2018,Number,Total,Both sexes,193
2018,Number,Education,Both sexes,8
2018,Number,Arts and humanities,Both sexes,18
2018,Number,"Social sciences, journalism and information",Both sexes,28
2018,Number,Business administration and the law,Both sexes,44
2018,Number,"Natural sciences, mathematics and statistics",Both sexes,19
2018,Number,Information and communication technologies,Both sexes,8
2018,Number,"Engineering, manufacturing and construction",Both sexes,21
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,16
2018,Number,Health and social protection,Both sexes,22
2018,Number,Services,Both sexes,8
2018,Number,Unknown,Both sexes,1
2018,Number,Total,M,106
2018,Number,Education,M,4
2018,Number,Arts and humanities,M,9
2018,Number,"Social sciences, journalism and information",M,18
2018,Number,Business administration and the law,M,25
2018,Number,"Natural sciences, mathematics and statistics",M,11
2018,Number,Information and communication technologies,M,7
2018,Number,"Engineering, manufacturing and construction",M,12
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,8
2018,Number,Health and social protection,M,7
2018,Number,Services,M,5
2018,Number,Unknown,M,0
2018,Number,Total,F,87
2018,Number,Education,F,4
2018,Number,Arts and humanities,F,9
2018,Number,"Social sciences, journalism and information",F,10
2018,Number,Business administration and the law,F,19
2018,Number,"Natural sciences, mathematics and statistics",F,8
2018,Number,Information and communication technologies,F,1
2018,Number,"Engineering, manufacturing and construction",F,9
2018,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,8
2018,Number,Health and social protection,F,15
2018,Number,Services,F,3
2018,Number,Unknown,F,1
2019,Number,Total,Both sexes,166
2019,Number,Education,Both sexes,7
2019,Number,Arts and humanities,Both sexes,21
2019,Number,"Social sciences, journalism and information",Both sexes,37
2019,Number,Business administration and the law,Both sexes,42
2019,Number,"Natural sciences, mathematics and statistics",Both sexes,10
2019,Number,Information and communication technologies,Both sexes,5
2019,Number,"Engineering, manufacturing and construction",Both sexes,16
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,9
2019,Number,Health and social protection,Both sexes,14
2019,Number,Services,Both sexes,3
2019,Number,Unknown,Both sexes,2
2019,Number,Total,M,97
2019,Number,Education,M,3
2019,Number,Arts and humanities,M,9
2019,Number,"Social sciences, journalism and information",M,30
2019,Number,Business administration and the law,M,27
2019,Number,"Natural sciences, mathematics and statistics",M,3
2019,Number,Information and communication technologies,M,3
2019,Number,"Engineering, manufacturing and construction",M,9
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,6
2019,Number,Health and social protection,M,3
2019,Number,Services,M,2
2019,Number,Unknown,M,2
2019,Number,Total,F,69
2019,Number,Education,F,4
2019,Number,Arts and humanities,F,12
2019,Number,"Social sciences, journalism and information",F,7
2019,Number,Business administration and the law,F,15
2019,Number,"Natural sciences, mathematics and statistics",F,7
2019,Number,Information and communication technologies,F,2
2019,Number,"Engineering, manufacturing and construction",F,7
2019,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,3
2019,Number,Health and social protection,F,11
2019,Number,Services,F,1
2019,Number,Unknown,F,0
2020,Number,Total,Both sexes,148
2020,Number,Education,Both sexes,11
2020,Number,Arts and humanities,Both sexes,9
2020,Number,"Social sciences, journalism and information",Both sexes,45
2020,Number,Business administration and the law,Both sexes,21
2020,Number,"Natural sciences, mathematics and statistics",Both sexes,11
2020,Number,Information and communication technologies,Both sexes,6
2020,Number,"Engineering, manufacturing and construction",Both sexes,17
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",Both sexes,6
2020,Number,Health and social protection,Both sexes,15
2020,Number,Services,Both sexes,7
2020,Number,Unknown,Both sexes,0
2020,Number,Total,M,90
2020,Number,Education,M,7
2020,Number,Arts and humanities,M,2
2020,Number,"Social sciences, journalism and information",M,34
2020,Number,Business administration and the law,M,16
2020,Number,"Natural sciences, mathematics and statistics",M,7
2020,Number,Information and communication technologies,M,3
2020,Number,"Engineering, manufacturing and construction",M,10
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",M,1
2020,Number,Health and social protection,M,4
2020,Number,Services,M,6
2020,Number,Unknown,M,0
2020,Number,Total,F,58
2020,Number,Education,F,4
2020,Number,Arts and humanities,F,7
2020,Number,"Social sciences, journalism and information",F,12
2020,Number,Business administration and the law,F,4
2020,Number,"Natural sciences, mathematics and statistics",F,4
2020,Number,Information and communication technologies,F,3
2020,Number,"Engineering, manufacturing and construction",F,7
2020,Number,"Agriculture, forestry, fisheries and veterinary medicine",F,5
2020,Number,Health and social protection,F,11
2020,Number,Services,F,1
2020,Number,Unknown,F,0
