Year,UNIT_MEASURE,type_of_institution,SEX,Value
2017,NUMBER,homes_for_children_and_youth_without_parental_care,_T,1070
2017,NUMBER,homes_for_children_and_youth_without_parental_care,M,538
2017,NUMBER,homes_for_children_and_youth_without_parental_care,F,532
2017,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2748
2017,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1643
2017,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,1105
2017,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,204
2017,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,121
2017,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,83
2017,NUMBER,social_welfare_institutions_for_adults,_T,5778
2017,NUMBER,social_welfare_institutions_for_adults,M,2187
2017,NUMBER,social_welfare_institutions_for_adults,F,3591
2018,NUMBER,_T,_T,10232
2018,NUMBER,_T,M,4710
2018,NUMBER,_T,F,5522
2018,NUMBER,homes_for_children_and_youth_without_parental_care,_T,965
2018,NUMBER,homes_for_children_and_youth_without_parental_care,M,476
2018,NUMBER,homes_for_children_and_youth_without_parental_care,F,489
2018,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2776
2018,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1682
2018,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,1094
2018,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,207
2018,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,116
2018,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,91
2018,NUMBER,social_welfare_institutions_for_adults,_T,6284
2018,NUMBER,social_welfare_institutions_for_adults,M,2436
2018,NUMBER,social_welfare_institutions_for_adults,F,3848
2019,NUMBER,_T,_T,11443
2019,NUMBER,_T,M,4968
2019,NUMBER,_T,F,6475
2019,NUMBER,homes_for_children_and_youth_without_parental_care,_T,1121
2019,NUMBER,homes_for_children_and_youth_without_parental_care,M,607
2019,NUMBER,homes_for_children_and_youth_without_parental_care,F,514
2019,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2586
2019,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1538
2019,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,1048
2019,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,283
2019,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,168
2019,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,115
2019,NUMBER,social_welfare_institutions_for_adults,_T,7453
2019,NUMBER,social_welfare_institutions_for_adults,M,2655
2019,NUMBER,social_welfare_institutions_for_adults,F,4798
2020,NUMBER,_T,_T,10902
2020,NUMBER,_T,M,4687
2020,NUMBER,_T,F,6215
2020,NUMBER,homes_for_children_and_youth_without_parental_care,_T,1103
2020,NUMBER,homes_for_children_and_youth_without_parental_care,M,590
2020,NUMBER,homes_for_children_and_youth_without_parental_care,F,513
2020,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2434
2020,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1448
2020,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,986
2020,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,282
2020,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,182
2020,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,100
2020,NUMBER,social_welfare_institutions_for_adults,_T,7083
2020,NUMBER,social_welfare_institutions_for_adults,M,2467
2020,NUMBER,social_welfare_institutions_for_adults,F,4616
2021,NUMBER,_T,_T,11502
2021,NUMBER,_T,M,4869
2021,NUMBER,_T,F,6633
2021,NUMBER,homes_for_children_and_youth_without_parental_care,_T,1112
2021,NUMBER,homes_for_children_and_youth_without_parental_care,M,576
2021,NUMBER,homes_for_children_and_youth_without_parental_care,F,536
2021,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2540
2021,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1526
2021,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,1014
2021,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,249
2021,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,154
2021,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,95
2021,NUMBER,social_welfare_institutions_for_adults,_T,7601
2021,NUMBER,social_welfare_institutions_for_adults,M,2613
2021,NUMBER,social_welfare_institutions_for_adults,F,4988
2022,NUMBER,_T,_T,12362
2022,NUMBER,_T,M,5218
2022,NUMBER,_T,F,7144
2022,NUMBER,homes_for_children_and_youth_without_parental_care,_T,1013
2022,NUMBER,homes_for_children_and_youth_without_parental_care,M,521
2022,NUMBER,homes_for_children_and_youth_without_parental_care,F,492
2022,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2541
2022,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1568
2022,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,973
2022,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,321
2022,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,218
2022,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,103
2022,NUMBER,social_welfare_institutions_for_adults,_T,8487
2022,NUMBER,social_welfare_institutions_for_adults,M,2911
2022,NUMBER,social_welfare_institutions_for_adults,F,5576
2023,NUMBER,_T,_T,11897
2023,NUMBER,_T,M,5955
2023,NUMBER,_T,F,5942
2023,NUMBER,homes_for_children_and_youth_without_parental_care,_T,953
2023,NUMBER,homes_for_children_and_youth_without_parental_care,M,469
2023,NUMBER,homes_for_children_and_youth_without_parental_care,F,484
2023,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2512
2023,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1519
2023,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,993
2023,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,285
2023,NUMBER,social_welfare_institutions_for_adults_with_disabilities,M,172
2023,NUMBER,social_welfare_institutions_for_adults_with_disabilities,F,113
2023,NUMBER,social_welfare_institutions_for_adults,_T,8147
2023,NUMBER,social_welfare_institutions_for_adults,M,3795
2023,NUMBER,social_welfare_institutions_for_adults,F,4352
2024,NUMBER,_T,_T,12717
2024,NUMBER,homes_for_children_and_youth_without_parental_care,_T,881
2024,NUMBER,homes_for_children_and_youth_without_parental_care,M,443
2024,NUMBER,homes_for_children_and_youth_without_parental_care,F,438
2024,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,_T,2592
2024,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,M,1564
2024,NUMBER,adult_beneficiaries_social_protection_institutions_for_children_youth_and_adults_with_mental_and_physical_disabilities,F,1028
2024,NUMBER,social_welfare_institutions_for_adults_with_disabilities,_T,270
2024,NUMBER,social_welfare_institutions_for_adults,_T,8974
