Year,Type of disability,Sex,Age,UNIT_MEASURE,Value
2013,Seeing,F,60-64,Number,4034
2013,Hearing,F,60-64,Number,857
2013,Walking or climbing up the stairs,F,60-64,Number,7055
2013,Remembering or concentration,F,60-64,Number,430
2013,Self-care,F,60-64,Number,43
2013,Communication,F,60-64,Number,61
2013,Multiple disabilities,F,60-64,Number,5922
2013,Seeing,F,65+,Number,12600
2013,Hearing,F,65+,Number,5885
2013,Walking or climbing up the stairs,F,65+,Number,30877
2013,Remembering or concentration,F,65+,Number,1744
2013,Self-care,F,65+,Number,321
2013,Communication,F,65+,Number,226
2013,Multiple disabilities,F,65+,Number,44011
