Year,Kvartal,UNIT_MEASURE,Spol,Starosna dob,Value
2021,III kvartal,%,Ž,20 - 64,40.0
2021,III kvartal,%,Ž,25 - 34,48.0
2021,III kvartal,%,Ž,15 - 74,32.0
2021,III kvartal,%,Ž,65 - 74,3.0
2021,IV kvartal,%,Oba spola,15 - 89,41.0
2021,IV kvartal,%,Oba spola,15-24,20.0
2021,IV kvartal,%,Oba spola,25 - 49,65.0
2021,IV kvartal,%,Oba spola,50 - 64,43.0
2021,IV kvartal,%,Oba spola,65+,3.0
2021,IV kvartal,%,Oba spola,15 - 64,50.0
2021,IV kvartal,%,Oba spola,20 - 64,54.0
2021,IV kvartal,%,Oba spola,25 - 34,62.0
2021,IV kvartal,%,Oba spola,15 - 74,44.0
2021,IV kvartal,%,Oba spola,65 - 74,3.0
2021,IV kvartal,%,M,15 - 89,52.0
2021,IV kvartal,%,M,15 - 24,25.0
2021,IV kvartal,%,M,25 - 49,78.0
2021,IV kvartal,%,M,50 - 64,58.0
2021,IV kvartal,%,M,65+,4.0
2021,IV kvartal,%,M,15 - 64,62.0
2021,IV kvartal,%,M,20 - 64,67.0
2021,IV kvartal,%,M,25 - 34,74.0
2021,IV kvartal,%,M,15 - 74,55.0
2021,IV kvartal,%,M,65 - 74,5.0
2021,IV kvartal,%,Ž,15 - 89,30.0
2021,IV kvartal,%,Ž,15 - 24,16.0
2021,IV kvartal,%,Ž,25 - 49,52.0
2021,IV kvartal,%,Ž,50 - 64,28.0
2021,IV kvartal,%,Ž,65+,2.0
2021,IV kvartal,%,Ž,15 - 64,38.0
2021,IV kvartal,%,Ž,20 - 64,41.0
2021,IV kvartal,%,Ž,25 - 34,50.0
2021,IV kvartal,%,Ž,15 - 74,32.0
2021,IV kvartal,%,Ž,65 - 74,2.0
2022,I kvartal,%,Oba spola,15 - 89,40.0
2022,I kvartal,%,Oba spola,15 - 24,19.0
2022,I kvartal,%,Oba spola,25 - 49,65.0
2022,I kvartal,%,Oba spola,50 - 64,41.0
2022,I kvartal,%,Oba spola,65+,3.0
2022,I kvartal,%,Oba spola,15 - 64,50.0
2022,I kvartal,%,Oba spola,20 - 64,54.0
2022,I kvartal,%,Oba spola,25 - 34,60.0
2022,I kvartal,%,Oba spola,15 - 74,43.0
2022,I kvartal,%,Oba spola,65 - 74,4.0
2022,I kvartal,%,M,15 - 89,51.0
2022,I kvartal,%,M,15 - 24,24.0
2022,I kvartal,%,M,25 - 49,77.0
2022,I kvartal,%,M,50 - 64,56.0
2022,I kvartal,%,M,65+,4.0
2022,I kvartal,%,M,15 - 64,62.0
2022,I kvartal,%,M,20 - 64,66.0
2022,I kvartal,%,M,25 - 34,72.0
2022,I kvartal,%,M,15 - 74,54.0
2022,I kvartal,%,M,65 - 74,5.0
2022,I kvartal,%,Ž,15 - 89,29.0
2022,I kvartal,%,Ž,15 - 24,13.0
2022,I kvartal,%,Ž,25 - 49,52.0
2022,I kvartal,%,Ž,50 - 64,28.0
2022,I kvartal,%,Ž,65+,2.0
2022,I kvartal,%,Ž,15 - 64,38.0
2022,I kvartal,%,Ž,20 - 64,41.0
2022,I kvartal,%,Ž,25 - 34,47.0
2022,I kvartal,%,Ž,15 - 74,32.0
2022,I kvartal,%,Ž,65 - 74,2.0
2022,II kvartal,%,Oba spola,15 - 89,40.0
2022,II kvartal,%,Oba spola,15 - 24,19.0
2022,II kvartal,%,Oba spola,25 - 49,65.0
2022,II kvartal,%,Oba spola,50 - 64,41.0
2022,II kvartal,%,Oba spola,65+,2.0
2022,II kvartal,%,Oba spola,15 - 64,50.0
2022,II kvartal,%,Oba spola,20 - 64,54.0
2022,II kvartal,%,Oba spola,25 - 34,61.0
2022,II kvartal,%,Oba spola,15 - 74,43.0
2022,II kvartal,%,Oba spola,65 - 74,4.0
2022,II kvartal,%,M,15 - 89,52.0
2022,II kvartal,%,M,15 - 24,24.0
2022,II kvartal,%,M,25 - 49,79.0
2022,II kvartal,%,M,50 - 64,55.0
2022,II kvartal,%,M,65+,4.0
2022,II kvartal,%,M,15 - 64,62.0
2022,II kvartal,%,M,20 - 64,67.0
2022,II kvartal,%,M,25 - 34,76.0
2022,II kvartal,%,M,15 - 74,55.0
2022,II kvartal,%,M,65 - 74,5.0
2022,II kvartal,%,Ž,15 - 89,29.0
2022,II kvartal,%,Ž,15 - 24,13.0
2022,II kvartal,%,Ž,25 - 49,50.0
2022,II kvartal,%,Ž,50 - 64,28.0
2022,II kvartal,%,Ž,65+,1.0
2022,II kvartal,%,Ž,15 - 64,37.0
2022,II kvartal,%,Ž,20 - 64,40.0
2022,II kvartal,%,Ž,25 - 34,46.0
2022,II kvartal,%,Ž,15 - 74,32.0
2022,II kvartal,%,Ž,65 - 74,2.0
