Year,UNIT_MEASURE,Пол,Старосна доб,Value
IV квартал,%,M,15 - 64,13.0
IV квартал,%,M,20 - 64,13.0
IV квартал,%,M,25 - 34,16.0
IV квартал,%,M,15 - 74,13.0
IV квартал,%,Ж,15 - 74,20.0
IV квартал,%,Ж,15 - 24,38.0
IV квартал,%,Ж,25 - 49,20.0
IV квартал,%,Ж,50 - 64,16.0
IV квартал,%,Ж,15 - 64,20.0
IV квартал,%,Ж,20 - 64,20.0
IV квартал,%,Ж,25 - 34,23.0
IV квартал,%,Ж,15 - 74,20.0
I квартал,%,Оба пола,15 - 74,17.0
I квартал,%,Оба пола,15 - 24,36.0
I квартал,%,Оба пола,25 - 49,16.0
I квартал,%,Оба пола,50 - 64,13.0
I квартал,%,Оба пола,15 - 64,17.0
I квартал,%,Оба пола,20 - 64,17.0
I квартал,%,Оба пола,25 - 34,21.0
I квартал,%,Оба пола,15 - 74,17.0
I квартал,%,M,15 - 74,14.0
I квартал,%,M,15 - 24,32.0
I квартал,%,M,25 - 49,13.0
I квартал,%,M,50 - 64,11.0
I квартал,%,M,15 - 64,14.0
I квартал,%,M,20 - 64,14.0
I квартал,%,M,25 - 34,16.0
I квартал,%,M,15 - 74,14.0
I квартал,%,Ж,15 - 74,21.0
I квартал,%,Ж,15 - 24,42.0
I квартал,%,Ж,25 - 49,21.0
I квартал,%,Ж,50 - 64,16.0
I квартал,%,Ж,15 - 64,21.0
I квартал,%,Ж,20 - 64,21.0
I квартал,%,Ж,25 - 34,27.0
I квартал,%,Ж,15 - 74,21.0
II квартал,%,Оба пола,15 - 74,16.0
II квартал,%,Оба пола,15 - 24,36.0
II квартал,%,Оба пола,25 - 49,15.0
II квартал,%,Оба пола,50 - 64,12.0
II квартал,%,Оба пола,15 - 64,16.0
II квартал,%,Оба пола,20 - 64,16.0
II квартал,%,Оба пола,25 - 34,18.0
II квартал,%,Оба пола,15 - 74,16.0
II квартал,%,M,15 - 74,13.0
II квартал,%,M,15 - 24,33.0
II квартал,%,M,25 - 49,11.0
II квартал,%,M,50 - 64,11.0
II квартал,%,M,15 - 64,13.0
II квартал,%,M,20 - 64,13.0
III квартал,%,M,25 - 34,12.0
II квартал,%,M,15 - 74,13.0
II квартал,%,Ж,15 - 74,20.0
II квартал,%,Ж,15 - 24,41.0
II квартал,%,Ж,25 - 49,20.0
II квартал,%,Ж,50 - 64,13.0
II квартал,%,Ж,15 - 64,20.0
II квартал,%,Ж,20 - 64,20.0
II квартал,%,Ж,25 - 34,27.0
II квартал,%,Ж,15 - 74,20.0
III квартал,%,Оба пола,15 - 74,15.0
III квартал,%,Оба пола,15 - 24,36.0
III квартал,%,Оба пола,25 - 49,14.0
III квартал,%,Оба пола,50 - 64,11.0
III квартал,%,Оба пола,15 - 64,15.0
III квартал,%,Оба пола,20 - 64,15.0
III квартал,%,Оба пола,25 - 34,17.0
III квартал,%,Оба пола,15 - 74,15.0
III квартал,%,M,15 - 74,12.0
III квартал,%,M,15 - 24,32.0
III квартал,%,M,25 - 49,11.0
III квартал,%,M,50 - 64,9.0
III квартал,%,M,15 - 64,12.0
III квартал,%,M,20 - 64,12.0
III квартал,%,M,25 - 34,12.0
III квартал,%,M,15 - 74,12.0
III квартал,%,Ж,15 - 74,19.0
III квартал,%,Ж,15 - 24,44.0
III квартал,%,Ж,25 - 49,18.0
III квартал,%,Ж,50 - 64,14.0
III квартал,%,Ж,15 - 64,19.0
III квартал,%,Ж,20 - 64,19.0
III квартал,%,Ж,25 - 34,23.0
III квартал,%,Ж,15 - 74,19.0
