Year,UNIT_MEASURE,Type_of_school,SEX,Value
2020,NUMBER,vocational_schools,M,5195
2011,NUMBER,high_schools_for_children_with_special_needs,M,65
2012,NUMBER,high_schools_for_children_with_special_needs,M,60
2013,NUMBER,high_schools_for_children_with_special_needs,M,78
2014,NUMBER,high_schools_for_children_with_special_needs,M,132
2015,NUMBER,high_schools_for_children_with_special_needs,M,79
2016,NUMBER,high_schools_for_children_with_special_needs,M,72
2017,NUMBER,high_schools_for_children_with_special_needs,M,67
2018,NUMBER,high_schools_for_children_with_special_needs,M,82
2019,NUMBER,high_schools_for_children_with_special_needs,M,82
2020,NUMBER,high_schools_for_children_with_special_needs,M,66
2011,NUMBER,_T,F,17327
2012,NUMBER,_T,F,16638
2013,NUMBER,_T,F,19735
2014,NUMBER,_T,F,21402
2015,NUMBER,_T,F,21088
2016,NUMBER,_T,F,17433
2017,NUMBER,_T,F,15454
2018,NUMBER,_T,F,16383
2019,NUMBER,_T,F,16021
2020,NUMBER,_T,F,15158
2011,NUMBER,gymnasium,F,5617
2012,NUMBER,gymnasium,F,5080
2013,NUMBER,gymnasium,F,6090
2014,NUMBER,gymnasium,F,6909
2015,NUMBER,gymnasium,F,7492
2016,NUMBER,gymnasium,F,5798
2017,NUMBER,gymnasium,F,4998
2018,NUMBER,gymnasium,F,4930
2019,NUMBER,gymnasium,F,4643
2020,NUMBER,gymnasium,F,4472
2011,NUMBER,technical_schools,F,8716
2012,NUMBER,technical_schools,F,8220
2013,NUMBER,technical_schools,F,9944
2014,NUMBER,technical_schools,F,10730
2015,NUMBER,technical_schools,F,10515
2016,NUMBER,technical_schools,F,9037
2017,NUMBER,technical_schools,F,7933
2018,NUMBER,technical_schools,F,8788
2019,NUMBER,technical_schools,F,8783
2020,NUMBER,technical_schools,F,8272
2011,NUMBER,art_schools,F,163
2012,NUMBER,art_schools,F,173
2013,NUMBER,art_schools,F,179
2014,NUMBER,art_schools,F,185
2015,NUMBER,art_schools,F,196
2016,NUMBER,art_schools,F,177
2017,NUMBER,art_schools,F,134
2018,NUMBER,art_schools,F,194
2019,NUMBER,art_schools,F,170
2020,NUMBER,art_schools,F,161
2011,NUMBER,religion_schools,F,219
2012,NUMBER,religion_schools,F,180
2013,NUMBER,religion_schools,F,251
2014,NUMBER,religion_schools,F,257
2015,NUMBER,religion_schools,F,306
2016,NUMBER,religion_schools,F,261
2017,NUMBER,religion_schools,F,235
2018,NUMBER,religion_schools,F,277
2019,NUMBER,religion_schools,F,302
2020,NUMBER,religion_schools,F,259
2011,NUMBER,vocational_schools,F,2578
2012,NUMBER,vocational_schools,F,2943
2013,NUMBER,vocational_schools,F,3237
2014,NUMBER,vocational_schools,F,3257
2015,NUMBER,vocational_schools,F,2535
2016,NUMBER,vocational_schools,F,2114
2017,NUMBER,vocational_schools,F,2118
2018,NUMBER,vocational_schools,F,2156
2019,NUMBER,vocational_schools,F,2071
2020,NUMBER,vocational_schools,F,1954
2011,NUMBER,high_schools_for_children_with_special_needs,F,34
2012,NUMBER,high_schools_for_children_with_special_needs,F,42
2013,NUMBER,high_schools_for_children_with_special_needs,F,34
2014,NUMBER,high_schools_for_children_with_special_needs,F,64
2015,NUMBER,high_schools_for_children_with_special_needs,F,44
2016,NUMBER,high_schools_for_children_with_special_needs,F,46
2017,NUMBER,high_schools_for_children_with_special_needs,F,36
2018,NUMBER,high_schools_for_children_with_special_needs,F,38
2019,NUMBER,high_schools_for_children_with_special_needs,F,52
2020,NUMBER,high_schools_for_children_with_special_needs,F,40
