Year,UNIT_MEASURE,school_year_end,Type_of_school,SEX,Value
2011,NUMBER,2011/2012,gymnasium,F,5080
2012,NUMBER,2012/2013,gymnasium,F,6090
2013,NUMBER,2013/2014,gymnasium,F,6909
2014,NUMBER,2014/2015,gymnasium,F,7492
2015,NUMBER,2015/2016,gymnasium,F,5798
2016,NUMBER,2016/2017,gymnasium,F,4998
2017,NUMBER,2017/2018,gymnasium,F,4930
2018,NUMBER,2018/2019,gymnasium,F,4643
2019,NUMBER,2019/2020,gymnasium,F,4472
2010,NUMBER,2010/2011,technical_schools,F,8716
2011,NUMBER,2011/2012,technical_schools,F,8220
2012,NUMBER,2012/2013,technical_schools,F,9944
2013,NUMBER,2013/2014,technical_schools,F,10730
2014,NUMBER,2014/2015,technical_schools,F,10515
2015,NUMBER,2015/2016,technical_schools,F,9037
2016,NUMBER,2016/2017,technical_schools,F,7933
2017,NUMBER,2017/2018,technical_schools,F,8788
2018,NUMBER,2018/2019,technical_schools,F,8783
2019,NUMBER,2019/2020,technical_schools,F,8272
2010,NUMBER,2010/2011,art_schools,F,163
2011,NUMBER,2011/2012,art_schools,F,173
2012,NUMBER,2012/2013,art_schools,F,179
2013,NUMBER,2013/2014,art_schools,F,185
2014,NUMBER,2014/2015,art_schools,F,196
2015,NUMBER,2015/2016,art_schools,F,177
2016,NUMBER,2016/2017,art_schools,F,134
2017,NUMBER,2017/2018,art_schools,F,194
2018,NUMBER,2018/2019,art_schools,F,170
2019,NUMBER,2019/2020,art_schools,F,161
2010,NUMBER,2010/2011,religion_schools,F,219
2011,NUMBER,2011/2012,religion_schools,F,180
2012,NUMBER,2012/2013,religion_schools,F,251
2013,NUMBER,2013/2014,religion_schools,F,257
2014,NUMBER,2014/2015,religion_schools,F,306
2015,NUMBER,2015/2016,religion_schools,F,261
2016,NUMBER,2016/2017,religion_schools,F,235
2017,NUMBER,2017/2018,religion_schools,F,277
2018,NUMBER,2018/2019,religion_schools,F,302
2019,NUMBER,2019/2020,religion_schools,F,259
2010,NUMBER,2010/2011,vocational_schools,F,2578
2011,NUMBER,2011/2012,vocational_schools,F,2943
2012,NUMBER,2012/2013,vocational_schools,F,3237
2013,NUMBER,2013/2014,vocational_schools,F,3257
2014,NUMBER,2014/2015,vocational_schools,F,2535
2015,NUMBER,2015/2016,vocational_schools,F,2114
2016,NUMBER,2016/2017,vocational_schools,F,2118
2017,NUMBER,2017/2018,vocational_schools,F,2156
2018,NUMBER,2018/2019,vocational_schools,F,2071
2019,NUMBER,2019/2020,vocational_schools,F,1954
2010,NUMBER,2010/2011,high_schools_for_children_with_special_needs,F,34
2011,NUMBER,2011/2012,high_schools_for_children_with_special_needs,F,42
2012,NUMBER,2012/2013,high_schools_for_children_with_special_needs,F,34
2013,NUMBER,2013/2014,high_schools_for_children_with_special_needs,F,64
2014,NUMBER,2014/2015,high_schools_for_children_with_special_needs,F,44
2015,NUMBER,2015/2016,high_schools_for_children_with_special_needs,F,46
2016,NUMBER,2016/2017,high_schools_for_children_with_special_needs,F,36
2017,NUMBER,2017/2018,high_schools_for_children_with_special_needs,F,38
2018,NUMBER,2018/2019,high_schools_for_children_with_special_needs,F,52
2019,NUMBER,2019/2020,high_schools_for_children_with_special_needs,F,40
