Year,UNIT_MEASURE,type_of_education,SEX,Value
2019,NUMBER,health_and_social_protection,M,88
2019,NUMBER,services,M,34
2019,NUMBER,unknown,M,0
2019,NUMBER,total,F,530
2019,NUMBER,education,F,20
2019,NUMBER,arts_and_humanities,F,71
2019,NUMBER,social_sciences_journalism_and_information,F,82
2019,NUMBER,business_administration_and_the_law_of_everything,F,86
2019,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,49
2019,NUMBER,information_and_communication_technologies,F,5
2019,NUMBER,engineering_manufacturing_and_construction,F,25
2019,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,24
2019,NUMBER,health_and_social_protection,F,150
2019,NUMBER,services,F,18
2019,NUMBER,unknown,F,0
2020,NUMBER,total,_T,1208
2020,NUMBER,education,_T,54
2020,NUMBER,arts_and_humanities,_T,116
2020,NUMBER,social_sciences_journalism_and_information,_T,56
2020,NUMBER,business_administration_and_the_law_of_everything,_T,188
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,_T,116
2020,NUMBER,information_and_communication_technologies,_T,56
2020,NUMBER,engineering_manufacturing_and_construction,_T,163
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,_T,43
2020,NUMBER,health_and_social_protection,_T,371
2020,NUMBER,services,_T,29
2020,NUMBER,unknown,_T,16
2020,NUMBER,total,M,606
2020,NUMBER,education,M,22
2020,NUMBER,arts_and_humanities,M,40
2020,NUMBER,social_sciences_journalism_and_information,M,28
2020,NUMBER,business_administration_and_the_law_of_everything,M,99
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,M,50
2020,NUMBER,information_and_communication_technologies,M,41
2020,NUMBER,engineering_manufacturing_and_construction,M,130
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,M,22
2020,NUMBER,health_and_social_protection,M,151
2020,NUMBER,services,M,13
2020,NUMBER,unknown,M,10
2020,NUMBER,total,F,602
2020,NUMBER,education,F,32
2020,NUMBER,arts_and_humanities,F,76
2020,NUMBER,social_sciences_journalism_and_information,F,28
2020,NUMBER,business_administration_and_the_law_of_everything,F,89
2020,NUMBER,natural_sciences_mathematics_and_statistics_of_all,F,66
2020,NUMBER,information_and_communication_technologies,F,15
2020,NUMBER,engineering_manufacturing_and_construction,F,33
2020,NUMBER,agriculture_forestry_fisheries_and_veterinary_medicine,F,21
2020,NUMBER,health_and_social_protection,F,220
2020,NUMBER,services,F,16
2020,NUMBER,unknown,F,6
