Year,UNIT_MEASURE,Врста установе,Пол,Value
2017,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",M,1643
2017,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Ж,1105
2017,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Оба пола,204
2017,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,M,121
2017,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Ж,83
2017,Број,Установе социјалне заштите за одрасле,Оба пола,5778
2017,Број,Установе социјалне заштите за одрасле,M,2187
2017,Број,Установе социјалне заштите за одрасле,Ж,3591
2018,Број,Оба пола,Оба пола,10232
2018,Број,Оба пола,M,4710
2018,Број,Оба пола,Ж,5522
2018,Број,Домови за дјецу и младе без родитељског старања,Оба пола,965
2018,Број,Домови за дјецу и младе без родитељског старања,M,476
2018,Број,Домови за дјецу и младе без родитељског старања,Ж,489
2018,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Оба пола,2776
2018,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",M,1682
2018,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Ж,1094
2018,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Оба пола,207
2018,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,M,116
2018,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Ж,91
2018,Број,Установе социјалне заштите за одрасле,Оба пола,6284
2018,Број,Установе социјалне заштите за одрасле,M,2436
2018,Број,Установе социјалне заштите за одрасле,Ж,3848
2019,Број,Оба пола,Оба пола,11443
2019,Број,Оба пола,M,4968
2019,Број,Оба пола,Ж,6475
2019,Број,Домови за дјецу и младе без родитељског старања,Оба пола,1121
2019,Број,Домови за дјецу и младе без родитељског старања,M,607
2019,Број,Домови за дјецу и младе без родитељског старања,Ж,514
2019,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Оба пола,2586
2019,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",M,1538
2019,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Ж,1048
2019,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Оба пола,283
2019,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,M,168
2019,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Ж,115
2019,Број,Установе социјалне заштите за одрасле,Оба пола,7453
2019,Број,Установе социјалне заштите за одрасле,M,2655
2019,Број,Установе социјалне заштите за одрасле,Ж,4798
2020,Број,Оба пола,Оба пола,10902
2020,Број,Оба пола,M,4687
2020,Број,Оба пола,Ж,6215
2020,Број,Домови за дјецу и младе без родитељског старања,Оба пола,1103
2020,Број,Домови за дјецу и младе без родитељског старања,M,590
2020,Број,Домови за дјецу и младе без родитељског старања,Ж,513
2020,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Оба пола,2434
2020,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",M,1448
2020,Број,"Установе социјалне заштите за дјецу, младе и одрасле са менталним и физичким инвалидитетом",Ж,986
2020,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Оба пола,282
2020,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,M,182
2020,Број,Установе социјалне заштите за одрасле особе са инвалидитетом,Ж,100
2020,Број,Установе социјалне заштите за одрасле,Оба пола,7083
2020,Број,Установе социјалне заштите за одрасле,M,2467
2020,Број,Установе социјалне заштите за одрасле,Ж,4616
