Year,Kvartal,UNIT_MEASURE,Spol,Starosna dob,Value
2022,II kvartal,%,M,15 - 64,13.0
2022,II kvartal,%,M,20 - 64,12.7
2022,II kvartal,%,M,25 - 34,12.0
2022,II kvartal,%,M,15 - 74,12.9
2022,II kvartal,%,Ž,15 - 74,20.1
2022,II kvartal,%,Ž,15 - 24,41.5
2022,II kvartal,%,Ž,25 - 49,20.1
2022,II kvartal,%,Ž,50 - 64,13.1
2022,II kvartal,%,Ž,15 - 64,20.3
2022,II kvartal,%,Ž,20 - 64,20.0
2022,II kvartal,%,Ž,25 - 34,27.0
2022,II kvartal,%,Ž,15 - 74,20.1
2022,III kvartal,%,Oba spola,15 - 74,14.8
2022,III kvartal,%,Oba spola,15 - 24,36.2
2022,III kvartal,%,Oba spola,25 - 49,13.9
2022,III kvartal,%,Oba spola,50 - 64,10.9
2022,III kvartal,%,Oba spola,15 - 64,14.9
2022,III kvartal,%,Oba spola,20 - 64,14.6
2022,III kvartal,%,Oba spola,25 - 34,17.2
2022,III kvartal,%,Oba spola,15 - 74,14.8
2022,III kvartal,%,M,15 - 74,12.1
2022,III kvartal,%,M,15 - 24,31.8
2022,III kvartal,%,M,25 - 49,10.9
2022,III kvartal,%,M,50 - 64,9.2
2022,III kvartal,%,M,15 - 64,12.2
2022,III kvartal,%,M,20 - 64,11.8
2022,III kvartal,%,M,25 - 34,13.5
2022,III kvartal,%,M,15 - 74,12.1
2022,III kvartal,%,Ž,15 - 74,19.3
2022,III kvartal,%,Ž,15 - 24,44.2
2022,III kvartal,%,Ž,25 - 49,18.4
2022,III kvartal,%,Ž,50 - 64,14.2
2022,III kvartal,%,Ž,15 - 64,19.4
2022,III kvartal,%,Ž,20 - 64,19.2
2022,III kvartal,%,Ž,25 - 34,22.7
2022,III kvartal,%,Ž,15 - 74,19.3
2022,IV kvartal,%,Oba spola,15 - 74,14.3
2022,IV kvartal,%,Oba spola,15 - 24,18.1
2022,IV kvartal,%,Oba spola,25 - 49,65.5
2022,IV kvartal,%,Oba spola,50 - 64,43.3
2022,IV kvartal,%,Oba spola,15 - 64,14.4
2022,IV kvartal,%,Oba spola,20 - 64,14.1
2022,IV kvartal,%,Oba spola,25 - 34,18.8
2022,IV kvartal,%,Oba spola,15 - 74,14.3
2022,IV kvartal,%,M,15 - 74,11.7
2022,IV kvartal,%,M,15 - 24,28.0
2022,IV kvartal,%,M,25 - 49,11.0
2022,IV kvartal,%,M,50 - 64,8.5
2022,IV kvartal,%,M,15 - 64,11.7
2022,IV kvartal,%,M,20 - 64,11.3
2022,IV kvartal,%,M,25 - 34,16.3
2022,IV kvartal,%,M,15 - 74,11.7
2022,IV kvartal,%,Ž,15 - 74,18.5
2022,IV kvartal,%,Ž,15 - 24,40.7
2022,IV kvartal,%,Ž,25 - 49,18.0
2022,IV kvartal,%,Ž,50 - 64,13.9
2022,IV kvartal,%,Ž,15 - 64,18.6
2022,IV kvartal,%,Ž,20 - 64,18.6
2022,IV kvartal,%,Ž,25 - 34,22.4
2022,IV kvartal,%,Ž,15 - 74,18.5
2023,I kvartal,%,Oba spola,15 - 74,13.3
2023,I kvartal,%,Oba spola,15 - 24,30.1
2023,I kvartal,%,Oba spola,25 - 49,13.0
2023,I kvartal,%,Oba spola,50 - 64,10.6
2023,I kvartal,%,Oba spola,15 - 64,13.5
2023,I kvartal,%,Oba spola,20 - 64,13.3
2023,I kvartal,%,Oba spola,25 - 34,16.4
2023,I kvartal,%,Oba spola,15 - 74,13.3
2023,I kvartal,%,M,15 - 74,10.9
2023,I kvartal,%,M,15 - 24,26.3
2023,I kvartal,%,M,25 - 49,10.4
2023,I kvartal,%,M,50 - 64,8.8
2023,I kvartal,%,M,15 - 64,11.1
2023,I kvartal,%,M,20 - 64,10.1
2023,I kvartal,%,M,25 - 34,13.7
2023,I kvartal,%,M,15 - 74,10.9
2023,I kvartal,%,Ž,15 - 74,17.1
2023,I kvartal,%,Ž,15 - 24,37.1
2023,I kvartal,%,Ž,25 - 49,16.7
2023,I kvartal,%,Ž,50 - 64,13.9
2023,I kvartal,%,Ž,15 - 64,17.2
2023,I kvartal,%,Ž,20 - 64,17.2
2023,I kvartal,%,Ž,25 - 34,20.4
2023,I kvartal,%,Ž,15 - 74,17.1
2023,II kvartal,%,Oba spola,15 - 74,13.1
2023,II kvartal,%,Oba spola,15 - 24,29.1
2023,II kvartal,%,Oba spola,25 - 49,12.7
2023,II kvartal,%,Oba spola,50 - 64,10.8
2023,II kvartal,%,Oba spola,15 - 64,13.3
2023,II kvartal,%,Oba spola,20 - 64,13.1
2023,II kvartal,%,Oba spola,25 - 34,14.8
2023,II kvartal,%,Oba spola,15 - 74,13.1
2023,II kvartal,%,M,15 - 74,10.7
2023,II kvartal,%,M,15 - 24,26.2
2023,II kvartal,%,M,25 - 49,9.7
2023,II kvartal,%,M,50 - 64,9.6
2023,II kvartal,%,M,15 - 64,10.8
2023,II kvartal,%,M,20 - 64,10.5
2023,II kvartal,%,M,25 - 34,10.7
2023,II kvartal,%,M,15 - 74,10.7
2023,II kvartal,%,Ž,15 - 74,16.9
2023,II kvartal,%,Ž,15 - 24,35.1
2023,II kvartal,%,Ž,25 - 49,17.2
2023,II kvartal,%,Ž,50 - 64,12.8
2023,II kvartal,%,Ž,15 - 64,17.1
2023,II kvartal,%,Ž,20 - 64,17.2
2023,II kvartal,%,Ž,25 - 34,20.9
2023,II kvartal,%,Ž,15 - 74,16.9
2023,III kvartal,%,Oba spola,15 - 74,13.6
2023,III kvartal,%,Oba spola,15 - 24,32.0
2023,III kvartal,%,Oba spola,25 - 49,13.2
2023,III kvartal,%,Oba spola,50 - 64,9.8
2023,III kvartal,%,Oba spola,15 - 64,13.7
2023,III kvartal,%,Oba spola,20 - 64,13.2
2023,III kvartal,%,Oba spola,25 - 34,17.2
2023,III kvartal,%,Oba spola,15 - 74,13.6
2023,III kvartal,%,M,15 - 74,11.6
2023,III kvartal,%,M,15 - 24,32.5
2023,III kvartal,%,M,25 - 49,10.0
2023,III kvartal,%,M,50 - 64,9.6
2023,III kvartal,%,M,15 - 64,11.6
2023,III kvartal,%,M,20 - 64,11.0
2023,III kvartal,%,M,25 - 34,12.8
2023,III kvartal,%,M,15 - 74,11.6
2023,III kvartal,%,Ž,15 - 74,16.7
2023,III kvartal,%,Ž,15 - 24,30.8
2023,III kvartal,%,Ž,25 - 49,18.1
2023,III kvartal,%,Ž,50 - 64,10.3
2023,III kvartal,%,Ž,15 - 64,16.8
2023,III kvartal,%,Ž,20 - 64,16.7
2023,III kvartal,%,Ž,25 - 34,23.9
2023,III kvartal,%,Ž,15 - 74,16.7
2023,IV kvartal,%,Oba spola,15 - 74,19.8
2023,IV kvartal,%,Oba spola,15 - 24,33.4
2023,IV kvartal,%,Oba spola,25 - 49,18.8
2023,IV kvartal,%,Oba spola,50 - 64,18.9
2023,IV kvartal,%,Oba spola,15 - 64,19.8
2023,IV kvartal,%,Oba spola,20 - 64,19.9
2023,IV kvartal,%,Oba spola,25 - 34,23.8
2023,IV kvartal,%,Oba spola,15 - 74,19.8
2023,IV kvartal,%,M,15 - 74,16.6
2023,IV kvartal,%,M,15 - 24,31.8
2023,IV kvartal,%,M,25 - 49,16.9
2023,IV kvartal,%,M,50 - 64,11.9
2023,IV kvartal,%,M,15 - 64,16.6
2023,IV kvartal,%,M,20 - 64,16.8
2023,IV kvartal,%,M,25 - 34,21.2
2023,IV kvartal,%,M,15 - 74,16.6
2023,IV kvartal,%,Ž,15 - 74,24.9
2023,IV kvartal,%,Ž,25 - 49,21.5
2023,IV kvartal,%,Ž,50 - 64,31.0
2023,IV kvartal,%,Ž,15 - 64,24.7
2023,IV kvartal,%,Ž,20 - 64,24.8
2023,IV kvartal,%,Ž,25 - 34,27.8
2023,IV kvartal,%,Ž,15 - 74,24.9
2024,I kvartal,%,Oba spola,15 - 74,13.5
2024,I kvartal,%,Oba spola,15 - 24,27.4
2024,I kvartal,%,Oba spola,25 - 49,13.8
2024,I kvartal,%,Oba spola,50 - 64,9.9
2024,I kvartal,%,Oba spola,15 - 64,13.6
2024,I kvartal,%,Oba spola,20 - 64,13.5
2024,I kvartal,%,Oba spola,25 - 34,16.5
2024,I kvartal,%,Oba spola,15 - 74,13.5
2024,I kvartal,%,M,15 - 74,10.4
2024,I kvartal,%,M,15 - 24,22.7
2024,I kvartal,%,M,25 - 49,10.2
2024,I kvartal,%,M,50 - 64,8.2
2024,I kvartal,%,M,15 - 64,10.5
2024,I kvartal,%,M,20 - 64,10.3
2024,I kvartal,%,M,25 - 34,13.1
2024,I kvartal,%,M,15 - 74,10.4
2024,I kvartal,%,Ž,15 - 74,18.2
2024,I kvartal,%,Ž,15 - 24,35.8
2024,I kvartal,%,Ž,25 - 49,19.2
2024,I kvartal,%,Ž,50 - 64,12.7
2024,I kvartal,%,Ž,15 - 64,18.4
2024,I kvartal,%,Ž,20 - 64,18.4
2024,I kvartal,%,Ž,25 - 34,21.6
2024,I kvartal,%,Ž,15 - 74,18.2
2024,II kvartal,%,Oba spola,15 - 74,13.3
2024,II kvartal,%,Oba spola,15 - 24,30.4
2024,II kvartal,%,Oba spola,25 - 49,13.3
2024,II kvartal,%,Oba spola,50 - 64,10.3
2024,II kvartal,%,Oba spola,15 - 64,13.4
2024,II kvartal,%,Oba spola,20 - 64,13.2
2024,II kvartal,%,Oba spola,25 - 34,15.4
2024,II kvartal,%,Oba spola,15 - 74,13.3
2024,II kvartal,%,M,15 - 74,10.7
2024,II kvartal,%,M,15 - 24,27.6
2024,II kvartal,%,M,25 - 49,9.8
2024,II kvartal,%,M,50 - 64,9.4
2024,II kvartal,%,M,15 - 64,10.9
2024,II kvartal,%,M,20 - 64,10.7
2024,II kvartal,%,M,25 - 34,12.6
2024,II kvartal,%,M,15 - 74,10.7
2024,II kvartal,%,Ž,15 - 74,17.2
2024,II kvartal,%,Ž,15 - 24,36.3
2024,II kvartal,%,Ž,25 - 49,18.2
2024,II kvartal,%,Ž,50 - 64,11.7
2024,II kvartal,%,Ž,15 - 64,17.3
2024,II kvartal,%,Ž,20 - 64,17.1
2024,II kvartal,%,Ž,25 - 34,19.4
2024,II kvartal,%,Ž,15 - 74,17.2
2024,III kvartal,%,Oba spola,15 - 74,12.2
2024,III kvartal,%,Oba spola,15 - 24,31.4
2024,III kvartal,%,Oba spola,25 - 49,11.7
2024,III kvartal,%,Oba spola,50 - 64,9.2
2024,III kvartal,%,Oba spola,15 - 64,12.3
2024,III kvartal,%,Oba spola,20 - 64,12.0
2024,III kvartal,%,Oba spola,25 - 34,14.2
2024,III kvartal,%,Oba spola,15 - 74,12.2
2024,III kvartal,%,M,15 - 74,9.9
2024,III kvartal,%,M,15 - 24,30.5
2024,III kvartal,%,M,25 - 49,8.3
2024,III kvartal,%,M,50 - 64,8.6
2024,III kvartal,%,M,15 - 64,10.0
2024,III kvartal,%,M,20 - 64,9.7
2024,III kvartal,%,M,25 - 34,11.0
2024,III kvartal,%,M,15 - 74,9.9
2024,III kvartal,%,Ž,15 - 74,15.5
2024,III kvartal,%,Ž,15 - 24,33.5
2024,III kvartal,%,Ž,25 - 49,16.5
2024,III kvartal,%,Ž,50 - 64,10.1
2024,III kvartal,%,Ž,15 - 64,15.6
2024,III kvartal,%,Ž,20 - 64,15.4
2024,III kvartal,%,Ž,25 - 34,18.7
2024,III kvartal,%,Ž,15 - 74,15.5
2024,IV kvartal,%,T,15 - 74,11.7
2024,IV kvartal,%,T,15 - 24,31.2
2024,IV kvartal,%,T,25 - 49,11.2
2024,IV kvartal,%,T,50 - 64,8.5
2024,IV kvartal,%,T,15 - 64,11.8
2024,IV kvartal,%,T,20 - 64,11.6
2024,IV kvartal,%,T,25 - 34,13.4
2024,IV kvartal,%,T,15 - 74,11.7
2024,IV kvartal,%,M,15 - 74,9.3
2024,IV kvartal,%,M,15 - 24,28.4
2024,IV kvartal,%,M,25 - 49,8.3
2024,IV kvartal,%,M,50 - 64,6.8
2024,IV kvartal,%,M,15 - 64,9.3
2024,IV kvartal,%,M,20 - 64,9.0
2024,IV kvartal,%,M,25 - 34,10.6
2024,IV kvartal,%,M,15 - 74,9.3
2024,IV kvartal,%,Ž,15 - 74,15.4
2024,IV kvartal,%,Ž,15 - 24,36.9
2024,IV kvartal,%,Ž,25 - 49,15.5
2024,IV kvartal,%,Ž,50 - 64,11.1
2024,IV kvartal,%,Ž,15 - 64,15.5
2024,IV kvartal,%,Ž,20 - 64,15.4
2024,IV kvartal,%,Ž,25 - 34,17.5
2024,IV kvartal,%,Ž,15 - 74,15.4
2025,I kvartal,%,Oba spola,15 - 74,13.4
2025,I kvartal,%,Oba spola,15 - 24,35.3
2025,I kvartal,%,Oba spola,25 - 49,13.4
2025,I kvartal,%,Oba spola,50 - 64,9.2
2025,I kvartal,%,Oba spola,15 - 64,13.5
2025,I kvartal,%,Oba spola,20 - 64,13.3
2025,I kvartal,%,Oba spola,25 - 34,15.6
2025,I kvartal,%,Oba spola,15 - 74,13.4
2025,I kvartal,%,M,15 - 74,10.6
2025,I kvartal,%,M,15 - 24,33.7
2025,I kvartal,%,M,25 - 49,10.2
2025,I kvartal,%,M,50 - 64,7.5
2025,I kvartal,%,M,15 - 64,10.6
2025,I kvartal,%,M,20 - 64,10.4
2025,I kvartal,%,M,25 - 34,12.0
2025,I kvartal,%,M,15 - 74,10.6
2025,I kvartal,%,Ž,15 - 74,17.8
2025,I kvartal,%,Ž,15 - 24,38.9
2025,I kvartal,%,Ž,25 - 49,18.9
2025,I kvartal,%,Ž,50 - 64,12.0
2025,I kvartal,%,Ž,15 - 64,18.0
2025,I kvartal,%,Ž,20 - 64,17.9
2025,I kvartal,%,Ž,25 - 34,20.8
2025,I kvartal,%,Ž,15 - 74,17.8
2025,II kvartal,%,Oba spola,15 - 74,13.1
2025,II kvartal,%,T,15 - 24,33.9
2025,II kvartal,%,Oba spola,25 - 49,12.9
2025,II kvartal,%,Oba spola,50 - 64,9.5
2025,II kvartal,%,Oba spola,15 - 64,13.2
2025,II kvartal,%,Oba spola,20 - 64,13.0
2025,II kvartal,%,Oba spola,25 - 34,16.5
2025,II kvartal,%,Oba spola,15 - 74,13.1
2025,II kvartal,%,M,15 - 74,9.9
2025,II kvartal,%,M,15 - 24,31.2
2025,II kvartal,%,M,25 - 49,8.1
2025,II kvartal,%,M,50 - 64,8.8
2025,II kvartal,%,M,15 - 64,9.9
2025,II kvartal,%,M,20 - 64,9.7
2025,II kvartal,%,M,25 - 34,11.3
2025,II kvartal,%,M,15 - 74,9.9
2025,II kvartal,%,Ž,15 - 74,18.1
2025,II kvartal,%,Ž,15 - 24,41.2
2025,II kvartal,%,Ž,25 - 49,19.6
2025,II kvartal,%,Ž,50 - 64,10.6
2025,II kvartal,%,Ž,15 - 64,18.2
2025,II kvartal,%,Ž,20 - 64,18.1
2025,II kvartal,%,Ž,25 - 34,24.1
2025,II kvartal,%,Ž,15 - 74,18.1
