Year,UNIT_MEASURE,Врста школе,Пол,Value
2017,Број,Стручне школ,Оба пола,7260
2018,Број,Стручне школ,Оба пола,7224
2019,Број,Стручне школ,Оба пола,7018
2020,Број,Стручне школ,Оба пола,7149
2011,Број,Средње школе за дјецу са посебним потребама,Оба пола,99
2012,Број,Средње школе за дјецу са посебним потребама,Оба пола,102
2013,Број,Средње школе за дјецу са посебним потребама,Оба пола,112
2014,Број,Средње школе за дјецу са посебним потребама,Оба пола,196
2015,Број,Средње школе за дјецу са посебним потребама,Оба пола,123
2016,Број,Средње школе за дјецу са посебним потребама,Оба пола,118
2017,Број,Средње школе за дјецу са посебним потребама,Оба пола,103
2018,Број,Средње школе за дјецу са посебним потребама,Оба пола,120
2019,Број,Средње школе за дјецу са посебним потребама,Оба пола,134
2020,Број,Средње школе за дјецу са посебним потребама,Оба пола,106
2011,Број,Оба пола,M,18022
2012,Број,Оба пола,M,18153
2013,Број,Оба пола,M,20895
2014,Број,Оба пола,M,22589
2015,Број,Оба пола,M,22230
2016,Број,Оба пола,M,18464
2017,Број,Оба пола,M,16307
2018,Број,Оба пола,M,16580
2019,Број,Оба пола,M,16519
2020,Број,Оба пола,M,15982
2011,Број,Гимназија,M,3246
2012,Број,Гимназија,M,3021
2013,Број,Гимназија,M,3642
2014,Број,Гимназија,M,3946
2015,Број,Гимназија,M,4428
2016,Број,Гимназија,M,3412
2017,Број,Гимназија,M,2895
2018,Број,Гимназија,M,2869
2019,Број,Гимназија,M,2819
2020,Број,Гимназија,M,2538
2011,Број,Техничке школе,M,8794
2012,Број,Техничке школе,M,8333
2013,Број,Техничке школе,M,9735
2014,Број,Техничке школе,M,10569
2015,Број,Техничке школе,M,10911
2016,Број,Техничке школе,M,9580
2017,Број,Техничке школе,M,7882
2018,Број,Техничке школе,M,8200
2019,Број,Техничке школе,M,8309
2020,Број,Техничке школе,M,7844
2011,Број,Умјетничке школе,M,113
2012,Број,Умјетничке школе,M,120
2013,Број,Умјетничке школе,M,137
2014,Број,Умјетничке школе,M,133
2015,Број,Умјетничке школе,M,161
2016,Број,Умјетничке школе,M,111
2017,Број,Умјетничке школе,M,80
2018,Број,Умјетничке школе,M,108
2019,Број,Умјетничке школе,M,111
2020,Број,Умјетничке школе,M,80
2011,Број,Вјерске школе,M,228
2012,Број,Вјерске школе,M,176
2013,Број,Вјерске школе,M,209
2014,Број,Вјерске школе,M,260
2015,Број,Вјерске школе,M,296
2016,Број,Вјерске школе,M,242
2017,Број,Вјерске школе,M,241
2018,Број,Вјерске школе,M,253
2019,Број,Вјерске школе,M,251
2020,Број,Вјерске школе,M,259
2011,Број,Стручне школ,M,5576
2012,Број,Стручне школ,M,6443
2013,Број,Стручне школ,M,7094
2014,Број,Стручне школ,M,7549
2015,Број,Стручне школ,M,6355
2016,Број,Стручне школ,M,5047
2017,Број,Стручне школ,M,5142
2018,Број,Стручне школ,M,5068
2019,Број,Стручне школ,M,4947
2020,Број,Стручне школ,M,5195
2011,Број,Средње школе за дјецу са посебним потребама,M,65
2012,Број,Средње школе за дјецу са посебним потребама,M,60
2013,Број,Средње школе за дјецу са посебним потребама,M,78
2014,Број,Средње школе за дјецу са посебним потребама,M,132
2015,Број,Средње школе за дјецу са посебним потребама,M,79
2016,Број,Средње школе за дјецу са посебним потребама,M,72
2017,Број,Средње школе за дјецу са посебним потребама,M,67
2018,Број,Средње школе за дјецу са посебним потребама,M,82
2019,Број,Средње школе за дјецу са посебним потребама,M,82
2020,Број,Средње школе за дјецу са посебним потребама,M,66
2011,Број,Оба пола,Ж,17327
2012,Број,Оба пола,Ж,16638
2013,Број,Оба пола,Ж,19735
2014,Број,Оба пола,Ж,21402
2015,Број,Оба пола,Ж,21088
2016,Број,Оба пола,Ж,17433
2017,Број,Оба пола,Ж,15454
2018,Број,Оба пола,Ж,16383
2019,Број,Оба пола,Ж,16021
2020,Број,Оба пола,Ж,15158
2011,Број,Гимназија,Ж,5617
2012,Број,Гимназија,Ж,5080
2013,Број,Гимназија,Ж,6090
2014,Број,Гимназија,Ж,6909
2015,Број,Гимназија,Ж,7492
2016,Број,Гимназија,Ж,5798
2017,Број,Гимназија,Ж,4998
2018,Број,Гимназија,Ж,4930
2019,Број,Гимназија,Ж,4643
2020,Број,Гимназија,Ж,4472
2011,Број,Техничке школе,Ж,8716
2012,Број,Техничке школе,Ж,8220
2013,Број,Техничке школе,Ж,9944
2014,Број,Техничке школе,Ж,10730
2015,Број,Техничке школе,Ж,10515
2016,Број,Техничке школе,Ж,9037
2017,Број,Техничке школе,Ж,7933
2018,Број,Техничке школе,Ж,8788
2019,Број,Техничке школе,Ж,8783
2020,Број,Техничке школе,Ж,8272
2011,Број,Умјетничке школе,Ж,163
2012,Број,Умјетничке школе,Ж,173
2013,Број,Умјетничке школе,Ж,179
2014,Број,Умјетничке школе,Ж,185
2015,Број,Умјетничке школе,Ж,196
2016,Број,Умјетничке школе,Ж,177
2017,Број,Умјетничке школе,Ж,134
2018,Број,Умјетничке школе,Ж,194
2019,Број,Умјетничке школе,Ж,170
2020,Број,Умјетничке школе,Ж,161
2011,Број,Вјерске школе,Ж,219
2012,Број,Вјерске школе,Ж,180
2013,Број,Вјерске школе,Ж,251
2014,Број,Вјерске школе,Ж,257
2015,Број,Вјерске школе,Ж,306
2016,Број,Вјерске школе,Ж,261
2017,Број,Вјерске школе,Ж,235
2018,Број,Вјерске школе,Ж,277
2019,Број,Вјерске школе,Ж,302
2020,Број,Вјерске школе,Ж,259
2011,Број,Стручне школ,Ж,2578
2012,Број,Стручне школ,Ж,2943
2013,Број,Стручне школ,Ж,3237
2014,Број,Стручне школ,Ж,3257
2015,Број,Стручне школ,Ж,2535
2016,Број,Стручне школ,Ж,2114
2017,Број,Стручне школ,Ж,2118
2018,Број,Стручне школ,Ж,2156
2019,Број,Стручне школ,Ж,2071
2020,Број,Стручне школ,Ж,1954
2011,Број,Средње школе за дјецу са посебним потребама,Ж,34
2012,Број,Средње школе за дјецу са посебним потребама,Ж,42
2013,Број,Средње школе за дјецу са посебним потребама,Ж,34
2014,Број,Средње школе за дјецу са посебним потребама,Ж,64
2015,Број,Средње школе за дјецу са посебним потребама,Ж,44
2016,Број,Средње школе за дјецу са посебним потребама,Ж,46
2017,Број,Средње школе за дјецу са посебним потребама,Ж,36
2018,Број,Средње школе за дјецу са посебним потребама,Ж,38
2019,Број,Средње школе за дјецу са посебним потребама,Ж,52
2020,Број,Средње школе за дјецу са посебним потребама,Ж,40
