Year,UNIT_MEASURE,Vrsta ustanove,Spol,Value
2022,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2541
2022,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1568
2022,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,973
2022,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,321
2022,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,218
2022,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,103
2022,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,8487
2022,Broj,Ustanove socijalne zaštite za odrasle,M,2911
2022,Broj,Ustanove socijalne zaštite za odrasle,Ž,5576
2023,Broj,Oba spola,Oba spola,11897
2023,Broj,Oba spola,M,5955
2023,Broj,Oba spola,Ž,5942
2023,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Oba spola,953
2023,Broj,Domovi za djecu i mlade bez roditeljskog staranja,M,469
2023,Broj,Domovi za djecu i mlade bez roditeljskog staranja,Ž,484
2023,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Oba spola,2512
2023,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",M,1519
2023,Broj,"Ustanove socijalne zaštite za djecu, mlade i odrasle s mentalnim i fizičkim invaliditetom",Ž,993
2023,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Oba spola,285
2023,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,M,172
2023,Broj,Ustanove socijalne zaštite za odrasle osobe s invaliditetom,Ž,113
2023,Broj,Ustanove socijalne zaštite za odrasle,Oba spola,8147
2023,Broj,Ustanove socijalne zaštite za odrasle,M,3795
2023,Broj,Ustanove socijalne zaštite za odrasle,Ž,4352
